Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;300,2;4,1;null;31,106667;null;21,593548;null;null;null;null;
1990-02-28;null;null;null;185,1;75,6;null;30,622222;null;22,421429;null;null;null;null;
1990-03-31;null;null;null;null;2,2;null;31,937931;null;22,433333;null;null;null;null;
1990-04-30;null;null;null;null;104,8;null;31,726667;null;23,226667;null;null;null;null;
1990-05-31;null;null;null;296,5;9,8;null;31,43871;null;23,529032;null;null;null;null;
1990-06-30;null;null;null;285,4;0;null;30,173333;null;22,206667;null;null;null;null;
1990-07-31;null;null;null;272,2;15;null;30,129032;null;21,503226;null;null;null;null;
1990-08-31;null;null;null;316,5;0;null;30,629032;null;21,864516;null;null;null;null;
1990-09-30;null;null;null;null;0;null;31,993333;null;22,953333;null;null;null;null;
1990-10-31;null;null;null;null;41,4;null;32,353333;null;23,6;null;null;null;null;
1990-11-30;null;null;null;228,5;45;null;32,493333;null;23,3;null;null;null;null;
1990-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-01-31;null;null;null;null;182,9;null;30,946667;null;22,425806;null;null;null;null;
1991-02-28;null;null;null;215,4;126,6;null;32,071429;null;22,257143;null;null;null;null;
1991-03-31;null;null;null;null;175,2;null;31,268966;null;22,506667;null;null;null;null;
1991-04-30;null;null;null;null;88,8;null;30,64;null;22,266667;null;null;null;null;
1991-05-31;null;null;null;271,7;1,4;null;30,670968;null;23,090323;null;null;null;null;
1991-06-30;null;null;null;272,5;3;null;29,806667;null;22,126667;null;null;null;null;
1991-07-31;null;null;null;287,1;,6;null;28,941935;null;20,819355;null;null;null;null;
1991-08-31;null;null;null;269,1;0;null;29,270968;null;20,36129;null;null;null;null;
1991-09-30;null;null;null;224,4;0;null;30,946667;null;22,04;null;null;null;null;
1991-10-31;null;null;null;298,8;0;null;32,866667;null;22,490323;null;null;null;null;
1991-11-30;null;null;null;193,8;193,4;null;31,103448;null;22,406667;null;null;null;null;
1991-12-31;null;null;null;223,7;32,8;null;31,716129;null;null;null;null;null;null;
1992-01-31;null;null;null;132,8;337,2;965,183696;30,045161;null;null;82,166667;6,3;2,116304;null;
1992-02-29;null;null;null;null;122,4;967,417241;28,972414;22,213793;null;73,321429;5,1;2,191765;null;
1992-03-31;null;null;null;255,8;2,2;966,77957;31,470968;26,945806;23,180645;60,927419;6;2,82043;null;
1992-04-30;null;null;null;244,9;51,8;965,917778;31,553333;26,872;22,82;64,583333;5,8;2,248889;null;
1992-05-31;null;null;null;304;8;966,663441;31,554839;26,727742;22,593548;59,169355;6,3;2,343011;null;
1992-06-30;null;null;null;270,3;,4;969,218889;29,786667;25,366667;21,526667;60,141667;5,1;3,072222;null;
1992-07-31;null;null;null;287,4;1,4;970,888043;29;24,764;20,851613;57,508333;6,6;2,934066;null;
1992-08-31;null;null;null;274,5;0;970,293548;30,316129;25,354839;21,2;54,814516;6;2,868132;null;
1992-09-30;null;null;null;281,2;0;967,701111;31,286667;26,354667;22,36;53,875;6,5;3,180233;null;
1992-10-31;null;null;null;308,2;0;966,517582;33,090323;27,921333;23,677419;49,208333;6,6;2,992222;null;
1992-11-30;null;null;null;218,6;152,4;964,864444;32,006667;27,368667;23,64;57,65;6,3;2,749438;null;
1992-12-31;null;null;null;197,3;54,6;965,68172;29,987097;21,603226;null;67,895161;7,1;2,506593;null;
1993-01-31;null;null;null;null;44,2;966,817204;31,509677;null;null;59,774194;6,3;2,073034;null;
1993-02-28;191;null;null;230,7;2,4;965,745238;32,185714;null;null;55,0625;5,8;2,246988;null;
1993-03-31;267;null;null;null;2;966,012903;33,490323;null;null;50,862903;6,6;2,184783;null;
1993-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1993-05-31;253,2;null;null;274,1;0;966,828261;31,554839;null;null;55,129032;6,1;2,713043;null;
1993-06-30;214,2;null;null;238,9;,2;969,416471;29,896552;null;null;56,223214;6,3;3,06;null;
1993-07-31;264,6;null;null;295,9;0;969,509677;30,270968;null;null;53,346774;5,6;2,830108;null;
1993-08-31;null;null;null;306;0;969,32043;30,96129;null;null;52,806452;6,3;3,580822;null;
1993-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1993-10-31;null;null;null;280,4;38;966,840659;33,16129;null;null;58,108333;7,8;3,26962;null;
1993-11-30;null;null;null;269,4;10;964,875556;33,64;null;null;60,091667;8,3;2,970238;null;
1993-12-31;null;null;null;235,4;26,7;964,666667;32,996774;null;null;65,129032;7,1;2,383146;null;
1994-01-31;null;null;null;224;248,9;964,931183;31,56129;null;null;68,903226;4,5;1,656989;null;
1994-02-28;null;null;null;178,3;175,3;965,488095;31,65;null;null;69,821429;4,6;1,40119;null;
1994-03-31;null;null;null;205,9;126,5;966,33871;30,374194;null;null;73,83871;5,5;1,551613;null;
1994-04-30;null;null;null;246,7;44,8;966,425556;31,06;null;null;63,566667;5;2,097778;null;
1994-05-31;null;null;null;271,9;0;967,669892;31,129032;null;null;59,064516;5;2,396774;null;
1994-06-30;null;null;null;261,4;0;968,803333;30,393333;null;null;58,008333;5,3;2,81;null;
1994-07-31;null;null;null;284,7;7,4;970,317204;29,522581;null;null;54,919355;5,5;3,205376;null;
1994-08-31;null;null;null;null;0;969,537634;30,96129;null;null;48,209677;5,3;2,836986;null;
1994-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1994-10-31;null;null;null;null;0;965,834;34,4;null;null;41,955882;null;null;null;
1994-11-30;null;null;null;248,9;3,6;965,434444;33,933333;null;null;42,991667;7;2,835556;null;
1994-12-31;null;null;null;249;93,3;965,409677;33,948387;null;null;46,475806;6,8;2,682796;null;
1995-01-31;null;null;null;230,1;128,3;966,265591;32,303226;null;null;59,58871;5;1,81828;null;
1995-02-28;null;null;null;162,9;267,6;967,211905;30,421429;null;null;74,383929;4,6;1,47619;null;
1995-03-31;null;null;null;null;86,2;965,637634;31,941935;null;null;65,854839;6;1,844086;null;
1995-04-30;null;null;null;null;70,4;964,298889;31,716667;null;null;65,108333;4,6;1,697778;null;
1995-05-31;null;null;null;227,4;6,1;965,907527;31,864516;null;null;60,016129;null;null;null;
1995-06-30;null;null;null;265,6;0;968,246667;30,853333;null;null;54,35;null;null;null;
1995-07-31;null;null;null;288,5;0;968,383871;30,490323;null;null;50,91129;null;null;null;
1995-08-31;null;null;null;294,5;1,2;968,380645;31,432258;null;null;46,274194;6,3;3,269892;null;
1995-09-30;null;null;null;317,9;0;968,381111;33,046667;null;null;41,741667;6,3;3,345556;null;
1995-10-31;null;null;null;308,8;26,8;964,773118;34,645161;null;null;55,016129;6,6;2,893548;null;
1995-11-30;null;null;null;201,8;70,2;964,707778;32,38;null;null;68,066667;5,8;2,583146;null;
1995-12-31;null;null;null;179,8;94;965,046237;31,264516;null;null;76,298387;6,3;1,662366;null;
1996-01-31;null;null;null;null;4,7;963,873333;33,513333;null;null;67,241667;6,5;2,386667;null;
1996-02-29;null;null;null;250,4;48;964,385057;33,572414;null;null;69,827586;6,6;2,258621;null;
1996-03-31;null;null;null;200,2;258,7;964,777419;32,2;null;null;79,274194;4,3;1,455914;null;
1996-04-30;null;null;null;214;81;965,365556;31,793333;null;null;74,8;5;1,97;null;
