Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;249;6;null;32,26129;null;21,832258;null;null;null;null;
1990-02-28;null;null;null;217,9;93,4;null;33,460714;null;22,217857;null;null;null;null;
1990-03-31;null;null;null;269,9;6,5;null;35,03871;null;22,9;null;null;null;null;
1990-04-30;null;null;null;195,6;36,4;null;33,513333;null;22,886667;null;null;null;null;
1990-05-31;null;null;null;199,4;12,1;null;31,986667;null;21,616667;null;null;null;null;
1990-06-30;null;null;null;175,9;73,4;null;29,166667;null;20,593333;null;null;null;null;
1990-07-31;null;null;null;150,8;44,7;null;28,858065;null;20,319355;null;null;null;null;
1990-08-31;null;null;null;198,8;18,3;null;30,145161;null;20,1;null;null;null;null;
1990-09-30;null;null;null;224,9;8,7;null;32,336667;null;20,933333;null;null;null;null;
1990-10-31;null;null;null;239,6;1,7;null;33,606452;null;21,877419;null;null;null;null;
1990-11-30;null;null;null;245,5;45,1;null;34,666667;null;22,776667;null;null;null;null;
1990-12-31;null;null;null;284,1;16,6;null;35,016129;null;23,374194;null;null;null;null;
1991-01-31;null;null;null;232,7;18,5;null;34,767742;null;23,580645;null;null;null;null;
1991-02-28;null;null;null;253,1;20,2;null;35,021429;null;23,792857;null;null;null;null;
1991-03-31;null;null;null;222,2;198,4;null;33,156667;null;24,103226;null;null;null;null;
1991-04-30;null;null;null;257,4;3,4;null;33,226667;null;23,12;null;null;null;null;
1991-05-31;null;null;null;144,2;49,1;null;29,825806;null;22,341935;null;null;null;null;
1991-06-30;null;null;null;146,3;68,5;null;27,583333;null;20,973333;null;null;null;null;
1991-07-31;null;null;null;148,8;19,9;null;28,054839;null;19,416129;null;null;null;null;
1991-08-31;null;null;null;118,6;40,1;null;27,858065;null;19,009677;null;null;null;null;
1991-09-30;null;null;null;173,6;5,5;null;30,676667;null;20,38;null;null;null;null;
1991-10-31;null;null;null;269;,1;null;33,041935;null;21,445161;null;null;null;null;
1991-11-30;null;null;null;238,3;24,5;null;34,456667;null;22,55;null;null;null;null;
1991-12-31;null;null;null;284,3;,6;null;35,603226;null;22,806452;null;null;null;null;
1992-01-31;null;null;null;null;200,2;null;34,512903;null;23,148387;null;null;null;null;
1992-02-29;null;null;null;null;137,6;null;29,789655;null;22,351724;null;null;null;null;
1992-03-31;null;null;null;null;84,8;null;29,83871;null;22,125806;null;null;null;null;
1992-04-30;null;null;null;null;26;null;31,886667;null;22,316667;null;null;null;null;
1992-05-31;null;null;null;237,8;2,6;null;32,474194;null;21,412903;null;null;null;null;
1992-06-30;null;null;null;156,5;22,1;null;29,92;null;20,356667;null;null;null;null;
1992-07-31;null;null;null;136,1;52,3;null;28,074194;null;19,474194;null;null;null;null;
1992-08-31;null;null;null;192,4;13,3;null;28,983871;null;19,358065;null;null;null;null;
1992-09-30;null;null;null;177,1;30,3;null;30,136667;null;20,53;null;null;null;null;
1992-10-31;null;null;null;292,7;22,2;null;33,883871;null;20,803226;null;null;null;null;
1992-11-30;null;null;null;251,2;,5;null;34,103448;null;22,17;null;null;null;null;
1992-12-31;null;null;null;238,7;94;null;33,043333;null;21,8;null;null;null;null;
1993-01-31;null;null;null;242,5;21,4;983,358696;33,180645;27,423871;22,164516;55,645161;6,5;3,604348;null;
1993-02-28;null;null;null;252,6;90,8;982,65119;33,392857;27,299286;22,221429;57,392857;7;3,234524;null;
1993-03-31;null;null;null;286,8;0;982,935484;35,006452;28,092903;22,467742;52,41129;8,6;3,798925;null;
1993-04-30;null;null;null;237;,9;982,394444;34,48;27,73;22,946667;58,783333;6,5;3,503333;null;
1993-05-31;null;null;null;219;22,6;983,975269;32,048387;26,250323;21,741935;67,169355;6,5;3,746237;null;
1993-06-30;null;null;null;174,5;55,9;986,546667;29,206667;24,015333;20,446667;72,583333;8,3;3,515556;null;
1993-07-31;null;null;null;189,5;17,6;987,286022;28,506452;23,26;19,470968;72,669355;8;3,68172;null;
1993-08-31;null;null;null;211,1;27,1;987,096774;29,877419;24,127097;20,012903;69,451613;8,1;3,791398;null;
1993-09-30;null;null;null;null;7,3;984,466667;32,876667;26,251333;21,096667;59,258333;6,8;3,55;null;
1993-10-31;null;null;null;215,1;39,6;984,048387;32,709677;26,632903;21,987097;60,725806;8,3;3,94086;null;
1993-11-30;null;null;null;246,7;3,8;982,131111;33,953333;27,346;22,23;56,833333;7;3,871111;null;
1993-12-31;null;null;null;289,5;,3;981,545161;35,448387;28,336774;22,919355;51,427419;8,6;3,875269;null;
1994-01-31;null;null;null;292,3;87,1;981,112903;35,109677;28,663226;23,448387;53,08871;7,8;2,647312;null;
1994-02-28;null;null;null;237,2;11,8;981,820238;35,164286;28,788571;23,553571;52,598214;8,6;3,113095;null;
1994-03-31;null;null;null;231,4;78,2;982,197849;33,141935;27,269677;23,541935;64,58871;6;2,078495;null;
1994-04-30;null;null;null;236;67,3;982,903333;32,416667;26,75;22,743333;63,966667;5;2,623333;null;
1994-05-31;null;null;null;206,3;68,2;984,512903;30,183871;25,144516;21,529032;74,41129;6;2,41828;null;
1994-06-30;null;null;null;134,1;127;985,887778;28,123333;23,726;21,173333;85,233333;5;2,19;null;
1994-07-31;null;null;null;162,7;57,5;987,787097;26,951613;22,367742;19,512903;84,346774;5,3;2,854839;null;
1994-08-31;null;null;null;203,9;12,4;987,547312;28,535484;22,977419;19,054839;74,548387;5;2,904301;null;
1994-09-30;null;null;null;null;18,9;986,538889;30,63;24,324;19,813333;67,633333;6,5;3,638889;null;
1994-10-31;null;null;null;null;,2;983,662366;33,490323;26,589677;21,13871;58,919355;10,6;4,08172;null;
1994-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1994-12-31;null;null;null;265,7;19,7;982,320652;34,619355;27,509032;22,383871;53,056452;8,3;3,718478;null;
1995-01-31;null;null;null;259,9;6,4;982,530108;34,983871;28,382581;22,977419;52,895161;7,5;3,106452;null;
1995-02-28;null;null;null;243,9;60,3;982,529762;34,982143;28,387857;23,55;54,589286;9,1;2,653571;null;
1995-03-31;null;null;null;null;51,7;981,555914;34,654839;28,386452;23,474194;50,104839;9,8;2,635484;null;
1995-04-30;null;null;null;null;20;981,773333;32,603333;26,782;22,9;60,7;6,5;2,822222;null;
1995-05-31;null;null;null;192,9;38,7;983,265591;31,558065;25,896774;22,432258;67,66129;6,5;2,907527;null;
1995-06-30;null;null;null;109,7;107,1;986,113333;27,466667;23,061333;20,266667;85,025;6,5;3,144444;null;
1995-07-31;null;null;null;162,3;57,4;986,241935;27,13871;22,444516;19,658065;83,532258;5,6;2,824731;null;
