Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal
Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;278,1;33,7;null;32,303333;null;18,883871;null;null;null;null;
1990-02-28;null;null;null;171;142,3;null;31,264286;null;20,442857;null;null;null;null;
1990-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-04-30;null;null;null;254,8;86,8;null;31,913333;null;19,326667;null;null;null;null;
1990-05-31;null;null;null;276,7;26,3;null;32,764516;null;19,064516;null;null;null;null;
1990-06-30;null;null;null;294,5;0;null;32,47;null;15,436667;null;null;null;null;
1990-07-31;null;null;null;293,6;1,8;null;33,219355;null;15,277419;null;null;null;null;
1990-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-09-30;null;null;null;217,7;27,3;null;35,207143;null;19,25;null;null;null;null;
1990-10-31;null;null;null;202,2;109,3;null;null;null;20,348387;null;null;null;null;
1990-11-30;null;null;null;263,2;22,5;null;null;null;19,74;null;null;null;null;
1990-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-01-31;null;null;null;null;244,8;null;null;null;20,274194;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;210,7;197;null;32,290323;null;19,690323;null;null;null;null;
1991-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-06-30;null;null;null;291,4;0;null;32,663636;null;13,407692;null;null;null;null;
1991-07-31;null;null;null;276,1;0;null;31,721739;null;11,384;null;null;null;null;
1991-08-31;null;null;null;261;0;null;32,616667;null;12,424;null;null;null;null;
1991-09-30;null;null;null;205,4;,2;null;34,714286;null;15,478571;null;null;null;null;
1991-10-31;null;null;null;264,5;3,8;null;36,2;null;17,458065;null;null;null;null;
1991-11-30;null;null;null;146,6;166,4;null;32,592857;null;17,542857;null;null;null;null;
1991-12-31;null;null;null;195;102;null;31,744;null;19,072;null;null;null;null;
1992-01-31;88,2;null;null;112,1;547,7;959,433333;29,903448;23,97;18,917241;80,080357;5,1;1,58;null;
1992-02-29;77,2;null;null;null;141,1;961,990244;28,45;23,5536;18,457143;79,7;5,1;1,99375;null;
