Nome: SENHOR DO BONFIM
Codigo Estacao: 83088
Latitude: -10.443072
Longitude: -40.148244
Altitude: 532.09
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2011-07-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;198,6;51,3;null;29,109677;null;19,664516;null;null;null;null;
1990-02-28;null;null;null;195,4;59,1;null;30,207143;null;20,332143;null;null;null;null;
1990-03-31;null;null;null;234,4;2,6;null;31,306452;null;20,609677;null;null;null;null;
1990-04-30;null;null;null;192,4;62,7;null;30,482759;null;20,713333;null;null;null;null;
1990-05-31;null;null;null;183,4;37,2;null;29,306452;null;19,954839;null;null;null;null;
1990-06-30;null;null;null;148,9;37;null;26,396667;null;18,45;null;null;null;null;
1990-07-31;null;null;null;157,3;73,6;null;26,464516;null;18,193548;null;null;null;null;
1990-08-31;null;null;null;170,5;24,1;null;27,216667;null;17,96129;null;null;null;null;
1990-09-30;null;null;null;170,9;29;null;29,01;null;18,456667;null;null;null;null;
1990-10-31;null;null;null;129,7;79,8;null;29,712903;null;19,56129;null;null;null;null;
1990-11-30;null;null;null;162,1;114,8;null;31,782143;null;20,416667;null;null;null;null;
1990-12-31;null;null;null;246,6;58,1;null;31,351613;null;20,33871;null;null;null;null;
1991-01-31;null;null;null;169,6;73,3;null;30,806452;null;20,6;null;null;null;null;
1991-02-28;null;null;null;225,3;132,4;null;32,132143;null;20,807143;null;null;null;null;
1991-03-31;null;null;null;191;89,3;null;31;null;21,009677;null;null;null;null;
1991-04-30;null;null;null;155;19;null;30,023333;null;20,983333;null;null;null;null;
1991-05-31;null;null;null;138,6;77,7;null;27,996774;null;19,819355;null;null;null;null;
1991-06-30;null;null;null;100,5;130,6;null;24,731034;null;18,396667;null;null;null;null;
1991-07-31;null;null;null;126,8;65;null;24,345161;null;17,129032;null;null;null;null;
1991-08-31;null;null;null;98,5;80,7;null;24,645161;null;16,825806;null;null;null;null;
1991-09-30;null;null;null;98,5;26,9;null;27,896667;null;17,98;null;null;null;null;
1991-10-31;null;null;null;183,9;0;null;30,680645;null;18,664516;null;null;null;null;
1991-11-30;null;null;null;112;92,6;null;30,516667;null;20,516667;null;null;null;null;
1991-12-31;null;null;null;198,8;129,3;null;30,929032;null;20,267742;null;null;null;null;
1992-01-31;null;null;null;131;152,2;null;30,077419;null;20,670968;null;null;null;null;
1992-02-29;null;null;null;94,3;226,4;null;27,341379;null;20,017241;null;null;null;null;
1992-03-31;null;null;null;163,6;55,7;null;28,758065;null;20,245161;null;null;null;null;
1992-04-30;null;null;null;183,6;17,6;null;30,076667;null;20,613333;null;null;null;null;
1992-05-31;null;null;null;210;6,8;null;29,716667;null;19,512903;null;null;null;null;
1992-06-30;null;null;null;125,1;85,8;null;26,156667;null;18,233333;null;null;null;null;
1992-07-31;null;null;null;124,3;104,5;null;24,683871;null;17,3;null;null;null;null;
1992-08-31;null;null;null;189,1;22,2;null;26,983871;null;17,280645;null;null;null;null;
1992-09-30;null;null;null;155,1;51,9;null;28,310345;null;18,026667;null;null;null;null;
1992-10-31;null;null;null;237,4;15,3;null;31,277419;null;19,006452;null;null;null;null;
1992-11-30;null;null;null;181,3;39,9;null;30,84;null;19,783333;null;null;null;null;
1992-12-31;null;null;null;157,3;98;null;29,226667;null;19,664516;null;null;null;null;
1993-01-31;199,1;null;null;201,6;66,9;949,83587;30,883871;24,865806;19,809677;58,225806;7;2,477174;null;
1993-02-28;213,4;null;null;147,4;2,7;949,196429;31,9;25,924286;20,282143;51,25;7;2,285714;null;
1993-03-31;281,2;null;null;273,9;0;949,598925;32,970968;26,468387;20,341935;45,290323;7;2,591398;null;
1993-04-30;223,7;null;null;198,6;9,4;949,058889;31,86;26,058667;20,91;55,466667;5;2,488889;null;
1993-05-31;160;null;null;163;34,3;950,729032;28,945161;23,856774;19,790323;67,33871;14;2,978495;null;
1993-06-30;126,2;null;null;151,7;41,8;953,263333;27,04;22,040667;18,366667;71,583333;5;2,833333;null;
1993-07-31;173,4;null;null;207,9;32,7;953,572043;27,429032;22,14;17,76129;62,887097;5;2,935484;null;
1993-08-31;138,1;null;null;152,4;59,4;953,652688;26,816129;21,752258;17,806452;69,153226;7;2,688172;null;
1993-09-30;189,9;null;null;213,7;5,2;951,407778;30,716667;24,439333;19,07;54,658333;7;2,177778;null;
1993-10-31;175,6;null;null;210,2;50,5;950,794624;30,177419;24,476774;19,703226;62,33871;7;2,829032;null;
1993-11-30;219,7;null;null;219,8;20,1;948,832222;31,99;25,894667;20,25;53,941667;7;2,344444;null;
1993-12-31;207,2;null;null;259,5;7,4;948,201075;32,964516;26,952258;21,035484;49,701613;7;2,44086;null;
1994-01-31;182,6;null;null;252,2;35,6;947,893548;33,03871;27,270323;21,577419;51,540323;7;1,698925;null;
1994-02-28;161,7;null;null;206,1;88,2;948,739286;32,435714;26,579286;21,271429;54,9375;7;1,809524;null;
1994-03-31;148,2;null;null;208,6;202;949,092473;30,777419;25,783226;21,63871;64,967742;5;1,258065;null;
1994-04-30;118,7;null;null;187,7;134,7;950,207778;28,836667;24,096667;20,64;74,091667;5;2,455556;null;
1994-05-31;116,5;null;null;181,6;71,5;951,463441;27,7;23,191613;19,809677;74,975806;5;2,462366;null;
1994-06-30;90,8;null;null;113;67,3;952,853333;26,146667;21,892;19,066667;79,8;7;2,733333;null;
