Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;215,6;30,4;null;29,577419;null;20,009677;null;null;null;null;
1990-02-28;null;null;null;210,8;125,5;null;31,078571;null;20,021429;null;null;null;null;
1990-03-31;null;null;null;247;15,6;null;32,067742;null;20,264516;null;null;null;null;
1990-04-30;null;null;null;200;64,4;null;30,706897;null;20,97;null;null;null;null;
1990-05-31;null;null;null;205,7;19;null;30,32;null;20,223333;null;null;null;null;
1990-06-30;null;null;null;174,5;29,4;null;27,553333;null;19,276667;null;null;null;null;
1990-07-31;null;null;null;171;38,7;null;27,583871;null;19,103226;null;null;null;null;
1990-08-31;null;null;null;179,4;41,5;null;27,525806;null;18,580645;null;null;null;null;
1990-09-30;null;null;null;206,5;12,1;null;30,048276;null;19,253333;null;null;null;null;
1990-10-31;null;null;null;185,9;28,8;null;30,887097;null;19,967742;null;null;null;null;
1990-11-30;null;null;null;209,1;18,5;null;32,456667;null;20,583333;null;null;null;null;
1990-12-31;null;null;null;201,5;4;null;32,922581;null;20;null;null;null;null;
1991-01-31;null;null;null;186;50,5;null;32,263333;null;21,377419;null;null;null;null;
1991-02-28;null;null;null;231,4;18;null;33,632143;null;21,164286;null;null;null;null;
1991-03-31;null;null;null;189,9;108,9;null;31,987097;null;20,406452;null;null;null;null;
1991-04-30;null;null;null;176,3;62,5;null;30,55;null;19,726667;null;null;null;null;
1991-05-31;null;null;null;154,5;32,8;null;28,43871;null;19,203226;null;null;null;null;
1991-06-30;null;null;null;107,8;106;null;25,382759;null;16,853333;null;null;null;null;
1991-07-31;null;null;null;158,3;48,5;null;25,090323;null;16,66129;null;null;null;null;
1991-08-31;null;null;null;116,7;48,4;null;25,386667;null;16,451613;null;null;null;null;
1991-09-30;null;null;null;152,5;4,6;null;28,186667;null;17,376667;null;null;null;null;
1991-10-31;null;null;null;253;,2;null;30,9;null;18,122581;null;null;null;null;
1991-11-30;null;null;null;188,1;129,3;null;31,956667;null;19,74;null;null;null;null;
1991-12-31;null;null;null;246,9;24,8;null;33,141935;null;19,806452;null;null;null;null;
1992-01-31;null;null;null;174,9;233,7;null;31,622581;null;19,751613;null;null;null;null;
1992-02-29;null;null;null;96,1;125,4;null;27,948276;null;20,427586;null;null;null;null;
1992-03-31;null;null;null;198,4;72,8;null;29,346667;null;19,190323;null;null;null;null;
1992-04-30;null;null;null;204,1;14,7;null;30,863333;null;20,033333;null;null;null;null;
1992-05-31;null;null;null;null;2;null;30,677419;null;19,564516;null;null;null;null;
1992-06-30;null;null;null;130,1;40,3;null;27,333333;null;17,146667;null;null;null;null;
1992-07-31;null;null;null;155,4;93,9;null;25,91;null;16,483871;null;null;null;null;
1992-08-31;null;null;null;192,5;8,7;null;27,1;null;15,696774;null;null;null;null;
1992-09-30;null;null;null;172,1;9,8;null;29,026667;null;17,91;null;null;null;null;
1992-10-31;null;null;null;252,1;3,2;null;32,346667;null;null;null;null;null;null;
1992-11-30;null;null;null;195,3;7,8;null;32,22;null;null;null;null;null;null;
1992-12-31;null;null;null;197,5;106,5;null;30,629032;null;null;null;null;null;null;
1993-01-31;null;null;null;222,7;32,9;960,020652;32,045161;null;null;59,645161;6,6;2,944565;null;
1993-02-28;null;null;null;200,9;,5;959,285714;33,053571;null;null;58,482143;null;null;null;
1993-03-31;null;null;null;277;0;959,73871;33,822581;null;null;56,701613;5,3;3,132609;null;
1993-04-30;null;null;null;203,6;20,3;958,972222;32,716667;null;null;61,616667;5;2,895349;null;
1993-05-31;null;null;null;186,9;24,2;960,393548;29,983871;null;null;70,241935;5;2,848352;null;
1993-06-30;null;null;null;178,7;35,2;962,983333;27,843333;null;null;76,366667;6,6;3,18764;null;
1993-07-31;null;null;null;202,8;13,3;963,249462;28,248387;null;null;70,104839;6,5;3,334409;null;
1993-08-31;null;null;null;185,3;25,5;963,227957;27,887097;null;null;73,298387;5,8;3,227473;null;
1993-09-30;null;null;null;236,4;5,8;961,031111;31,393333;null;null;63,383333;null;null;null;
1993-10-31;null;null;null;222,4;84,1;960,804301;30,706452;null;null;68,483871;5,5;3,32987;null;
1993-11-30;null;null;null;230,4;29,3;958,792222;32,413333;null;null;61,691667;8,3;3,422727;null;
1993-12-31;null;null;null;247,7;14,3;958,008602;33,9;null;null;55,572581;6,3;3,318681;null;
1994-01-31;null;null;null;256;11,8;957,874194;34,290323;null;null;56,427419;5,8;3,429032;null;
1994-02-28;null;null;null;204,6;19;958,42381;33,1;null;null;54,75;6;3,004762;null;
1994-03-31;null;null;null;210;100,7;958,735484;31,690323;null;null;64,419355;6,6;2,643011;null;
1994-04-30;null;null;null;189;58,2;959,687778;30,35;null;null;73,183333;5,8;2,908989;null;
1994-05-31;null;null;null;199,6;61,9;960,963441;28,687097;null;null;74,120968;5,5;2,573256;null;
1994-06-30;null;null;null;125;70,5;962,396667;26,58;null;null;82,158333;5,6;2,564368;null;
1994-07-31;null;null;null;135;93,3;963,668817;25,103226;null;null;86,790323;6,6;2,708696;null;
1994-08-31;null;null;null;210,9;18,9;963,336559;26,870968;null;null;85,516129;6;3,039785;null;
1994-09-30;null;null;null;214,4;12;962,485556;28,776667;null;null;83,133333;5,6;3,449398;null;
1994-10-31;null;null;null;257,3;1,2;960,022581;31,687097;23,217333;20,455556;71,766667;6,6;3,559341;null;
1994-11-30;317,5;null;null;247,5;0;959,124444;33,03;25,834;20,806667;65,825;6,3;3,518889;null;
1994-12-31;300,1;null;null;260,8;11,1;958,792473;33,416129;26,665806;21,135484;58,798387;6,8;3,383871;null;
1995-01-31;null;null;null;246,5;21,1;959,201075;33,66129;27,128387;21,23871;58,548387;5;3,072527;null;
