Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.084858
Longitude: -43.138998
Altitude: 407.5
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;301;,9;null;31,606452;null;20,225806;null;null;null;null;
1990-02-28;null;null;null;192,8;74,4;null;31,914815;null;20,853571;null;null;null;null;
1990-03-31;null;null;null;292,6;0;null;33,251724;null;20,76129;null;null;null;null;
1990-04-30;null;null;null;268,7;13,9;null;33,483333;null;20,26;null;null;null;null;
1990-05-31;null;null;null;288,6;0;null;33,264516;null;20,290323;null;null;null;null;
1990-06-30;null;null;null;273,6;0;null;32,313333;null;16,943333;null;null;null;null;
1990-07-31;null;null;null;278,5;,7;null;32,506452;null;17,822581;null;null;null;null;
1990-08-31;null;null;null;301;0;null;33,016129;null;17,851613;null;null;null;null;
1990-09-30;null;null;null;267,3;8;null;34,25;null;20,806667;null;null;null;null;
1990-10-31;null;null;null;253,8;73,5;null;34,603448;null;21,929032;null;null;null;null;
1990-11-30;null;null;null;216,1;55,8;null;33,626667;null;21,573333;null;null;null;null;
1990-12-31;null;null;null;244,7;127,9;null;32,996667;null;21,056667;null;null;null;null;
1991-01-31;null;null;null;180,2;153,4;null;31,2;null;20,932258;null;null;null;null;
1991-02-28;null;null;null;220,8;90,9;null;32,237037;null;20,975;null;null;null;null;
1991-03-31;null;null;null;237,8;193,5;null;32,467742;null;21,112903;null;null;null;null;
1991-04-30;null;null;null;268;34,8;null;null;null;20,696667;null;null;null;null;
1991-05-31;null;null;null;267,9;1,7;null;null;null;19,696774;null;null;null;null;
1991-06-30;null;null;null;290,1;0;null;null;null;16,843333;null;null;null;null;
1991-07-31;null;null;null;289,6;0;null;null;null;15,441935;null;null;null;null;
1991-08-31;null;null;null;271,6;0;null;null;null;16,396774;null;null;null;null;
1991-09-30;null;null;null;229,6;0;null;null;null;19,77;null;null;null;null;
1991-10-31;null;null;null;283,4;0;null;null;null;21,170968;null;null;null;null;
1991-11-30;null;null;null;166,5;193,6;null;null;null;21,816667;null;null;null;null;
1991-12-31;null;null;null;217,7;108,5;null;null;null;20,6;null;null;null;null;
1992-01-31;82,2;null;null;98,3;304;963,517391;null;null;20,783871;70,5;5;2,047826;null;
1992-02-29;null;null;null;null;null;null;null;null;20,49375;null;null;null;null;
1992-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-04-30;107;null;null;238;7,3;964,196629;null;null;20,696667;47,05;3,8;1,531461;null;
1992-05-31;214,2;null;null;null;,9;965,302151;null;null;18,219355;50,717742;3,6;1,61828;null;
1992-06-30;181,1;null;null;null;0;967,811111;null;null;16,973333;58,675;5,8;2,003333;null;
1992-07-31;248,5;null;null;289,3;0;969,365591;null;null;15,741935;56,919355;6,3;2,251613;null;
1992-08-31;279,2;null;null;296,3;0;968,363441;null;null;16,941935;55,725806;7,6;2,695699;null;
1992-09-30;356,4;null;null;255,9;0;965,484444;null;null;19,986667;54,1;6,8;3,266667;null;
1992-10-31;399,6;null;null;250,2;35,2;964,412903;null;null;21,435484;49,604839;7,1;3,104301;null;
1992-11-30;218,8;null;null;210,2;121,9;963,118889;null;null;20,8;58,991667;5,5;2,212222;null;
1992-12-31;113,9;null;null;174,9;139,8;964,034409;29,8;24,928889;20,512903;64,870968;7,5;2,051613;null;
1993-01-31;191,2;null;null;252,7;78;965,103226;31,829032;25,68129;19,545161;58,233871;5;1,725806;null;
1993-02-28;209,8;null;null;234,6;14,9;964,12381;33,314286;27,062857;21,128571;51,955357;5,3;1,989286;null;
1993-03-31;251,6;null;null;302,3;1,1;964,215054;35,093548;28,309032;21,187097;44,83871;6,6;2,276344;null;
1993-04-30;155,2;null;null;232,9;38,4;963,95;34,133333;27,327333;21,13;52,516667;null;null;null;
1993-05-31;236;null;null;277,8;0;964,995699;33,767742;26,749032;19,535484;52,185484;5,6;2,187097;null;
1993-06-30;179,5;null;null;263,6;0;967,653333;32,326667;25,058667;16,986667;58,633333;6,6;2,091111;null;
1993-07-31;246,4;null;null;298,2;0;967,863441;33,096774;24,976129;16,290323;57,580645;4,8;2,032051;null;
1993-08-31;275,4;null;null;280;,5;967,358065;33,883871;26,150323;17,829032;53,798387;5,8;2,794624;null;
1993-09-30;286,4;null;null;280;0;964,905556;34,84;27,773333;20,646667;46,366667;6,6;2,99;null;
1993-10-31;331;null;null;271,5;10,5;964,67957;34,874194;28,412903;22,512903;47,903226;7,6;3,6;null;
1993-11-30;327,8;null;null;232,4;14,6;963,02;35,36;28,846;22,966667;46,266667;6,6;3,232222;null;
1993-12-31;156,2;null;null;215,2;99,4;962,911828;33,596774;27,755484;22,777419;54,25;6,1;2,464516;null;
1994-01-31;150,2;null;null;232;131,2;963,062366;34;27,763871;22,56129;55,403226;7;2,176344;null;
1994-02-28;119,8;null;null;151,9;164,1;964,24881;33,242857;27,323571;22,242857;56,928571;5,1;1,94881;null;
1994-03-31;87,9;null;null;224,6;196,1;964,598925;32,903226;26,765806;21,13871;58,862903;5,8;1,831183;null;
1994-04-30;109,8;null;null;236,6;40,1;965,452222;33,27;26,84;20,443333;54,141667;6,1;1,816667;null;
1994-05-31;167,9;null;null;276,8;0;966,16129;33,696774;26,849677;19,090323;52,701613;5,3;1,905376;null;
1994-06-30;222,2;null;null;270,7;,3;967,18;33,173333;26,256667;18,56;54,366667;6,6;1,867778;null;
