Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;297,5;6;null;29,848387;null;17,793548;null;null;null;null;
1990-02-28;null;null;null;207,7;85,9;null;29,510714;null;18,55;null;null;null;null;
1990-03-31;null;null;null;null;25,6;null;31,029032;null;18,474194;null;null;null;null;
1990-04-30;null;null;null;null;,6;null;31,3;null;18,446667;null;null;null;null;
1990-05-31;null;null;null;229;1,6;null;29,816129;null;18,441935;null;null;null;null;
1990-06-30;null;null;null;221,5;,1;null;28,036667;null;16,383333;null;null;null;null;
1990-07-31;null;null;null;null;12,6;null;28,63871;null;16,106452;null;null;null;null;
1990-08-31;null;null;null;null;0;null;28,812903;null;16,558065;null;null;null;null;
1990-09-30;null;null;null;null;,9;null;30,356667;null;18,07;null;null;null;null;
1990-10-31;null;null;null;null;61,7;null;31,023333;null;18,941935;null;null;null;null;
1990-11-30;null;null;null;238;74,9;null;31,673333;null;19,066667;null;null;null;null;
1990-12-31;null;null;null;260,4;42,7;null;30,76129;null;19,3;null;null;null;null;
1991-01-31;null;null;null;213,6;131,2;928,844565;29,577419;23,69;19,193548;73,483871;7,1;3,248913;null;
1991-02-28;null;null;null;256,3;17,7;928,95;32,392857;24,974167;19,346429;61,651786;7,5;3,435366;null;
1991-03-31;null;null;null;234,6;107,8;928,368817;30,748387;24,278571;19,267742;66,419355;8,6;3,653846;null;
1991-04-30;null;null;null;226,3;14,4;929,4;30,77931;24,2424;18,946667;62,62037;8;3,802326;null;
1991-05-31;null;null;null;245;,4;930,496774;29,164516;23,028571;18,232258;64,725;9,1;4,91413;null;
1991-06-30;null;null;null;240,9;,5;932,48;28,153333;21,577037;16,72;65,516667;8,3;5,106667;null;
1991-07-31;null;null;null;262,7;,4;933,610753;27,148387;20,297333;14,954839;62,185484;8,6;5,196739;null;
1991-08-31;null;null;null;258,9;0;934,58172;27,593548;20,451667;15,367742;60,717742;10;5,520652;null;
1991-09-30;null;null;null;231,1;0;931,661111;29,823333;22,657692;17,196667;55,37037;9;4,750562;null;
1991-10-31;null;null;null;285,7;0;929,97957;31,725806;24,449167;18,293548;47,8;8,3;5,131522;null;
1991-11-30;null;null;null;175,7;90,6;928,265556;30,566667;24,067143;19,613333;67,541667;7,8;3,554023;null;
1991-12-31;null;null;null;240,9;192,5;928,04086;null;null;19,429032;68,827586;8;3,596774;null;
1992-01-31;null;null;null;136,8;228,3;null;null;null;19,512903;null;null;null;null;
1992-02-29;null;null;null;null;85,2;null;null;null;18,3;null;null;null;null;
