Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.547494
Longitude: -41.151165
Altitude: 1001.66
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;212,9;55,1;null;25,948276;null;17,076667;null;null;null;null;
1990-02-28;null;null;null;141,6;97;null;26,285714;null;17,107143;null;null;null;null;
1990-03-31;null;null;null;224,7;20,6;null;27,545161;null;17,670968;null;null;null;null;
1990-04-30;null;null;null;197,9;18,3;null;26,906667;null;17,52;null;null;null;null;
1990-05-31;null;null;null;145;23,4;null;25,53;null;17,12;null;null;null;null;
1990-06-30;null;null;null;126,7;34,5;null;22,81;null;15,5;null;null;null;null;
1990-07-31;null;null;null;159,4;23,5;null;23,819355;null;15,283871;null;null;null;null;
1990-08-31;null;null;null;null;31,3;null;23,364516;null;14,825806;null;null;null;null;
1990-09-30;null;null;null;null;26,3;null;25,351724;null;15,676667;null;null;null;null;
1990-10-31;160,8;null;null;140,7;43,2;903,736957;26,06129;20,282581;16,441935;76,120968;7;3,423913;null;
1990-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-12-31;null;null;null;205,7;141,6;null;27,219355;null;17,435484;null;null;null;null;
1991-01-31;125,6;null;null;null;33,1;902,407609;26,8;21,512258;18,022581;75,653226;5;2,206522;null;
1991-02-28;170,6;null;null;186,1;51,1;902,154762;28,921429;22,478571;18,15;67,303571;5;2,845238;null;
