Nome: JACOBINA
Codigo Estacao: 83186
Latitude: -11.17277777
Longitude: -40.53416666
Altitude: 486.37
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;260,7;26,4;null;null;29,336667;null;null;null;null;null;
1990-02-28;null;null;null;199,8;83,4;null;null;30,507407;null;null;null;null;null;
1990-03-31;null;null;null;null;24,1;null;null;31,241935;null;null;null;null;null;
1990-04-30;null;null;null;null;19,4;null;null;31,073333;null;null;null;null;null;
1990-05-31;null;null;null;191,2;32,5;null;null;29,741935;null;null;null;null;null;
1990-06-30;null;null;null;164;69,8;null;null;26,2;null;null;null;null;null;
1990-07-31;null;null;null;143,8;32,4;null;null;27,06129;null;null;null;null;null;
1990-08-31;null;null;null;null;18,5;null;null;27,67;null;null;null;null;null;
1990-09-30;null;null;null;null;34,1;null;null;29,275862;null;null;null;null;null;
1990-10-31;null;null;null;189,9;58,1;null;null;29,8;null;null;null;null;null;
1990-11-30;null;null;null;198,3;108,8;null;null;31,786667;null;null;null;null;null;
1990-12-31;null;null;null;236,1;62,8;null;null;31,07;null;null;null;null;null;
1991-01-31;null;null;null;200,7;52,9;null;null;31,587097;null;null;null;null;null;
1991-02-28;null;null;null;261;110,9;null;null;32,817857;null;null;null;null;null;
1991-03-31;null;null;null;245,5;91,5;null;null;31,558065;null;null;null;null;null;
1991-04-30;null;null;null;208,6;46,3;null;null;30,423333;null;null;null;null;null;
1991-05-31;null;null;null;173,7;59,9;null;null;28,548387;null;null;null;null;null;
1991-06-30;null;null;null;134,1;74,9;null;null;25,224138;null;null;null;null;null;
1991-07-31;null;null;null;166,8;22,6;null;null;25,393103;null;null;null;null;null;
1991-08-31;null;null;null;146,1;29,9;null;null;25,616129;null;null;null;null;null;
1991-09-30;null;null;null;168,3;1,5;null;null;28,563333;null;null;null;null;null;
1991-10-31;null;null;null;256;0;null;null;31,432258;null;null;null;null;null;
1991-11-30;null;null;null;166;194,8;null;null;30,586667;null;null;null;null;null;
1991-12-31;null;null;null;227,7;44,4;null;null;30,606452;null;null;null;null;null;
1992-01-31;null;null;null;138,5;315,7;null;null;29,780645;null;null;null;null;null;
1992-02-29;null;null;null;null;383,3;null;null;27,52069;null;null;null;null;null;
1992-03-31;null;null;null;226,8;115,7;null;null;28,609677;null;null;null;null;null;
1992-04-30;null;null;null;null;14,6;null;null;29,53;null;null;null;null;null;
1992-05-31;null;null;null;null;6;null;null;29,516667;null;null;null;null;null;
1992-06-30;null;null;null;125,7;55;null;null;26,21;null;null;null;null;null;
1992-07-31;null;null;null;null;64,2;null;null;25,012903;null;null;null;null;null;
1992-08-31;null;null;null;null;15,2;null;null;27,341935;null;null;null;null;null;
1992-09-30;null;null;null;170,4;28,6;null;null;28,725;null;null;null;null;null;
1992-10-31;null;null;null;247,4;19,3;null;null;31,154839;null;null;null;null;null;
1992-11-30;null;null;null;180,5;39,8;null;null;30,67;null;null;null;null;null;
1992-12-31;null;null;null;149,5;124,4;null;null;28,841935;null;null;null;null;null;
1993-01-31;null;null;null;null;24;null;957,613043;31,016129;null;null;65,475806;9,5;3,976087;
1993-02-28;null;null;null;219,8;0;null;956,642857;32,946429;null;null;57,848214;9;4,766234;
