Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;199,2;28,6;null;null;null;19,865517;null;null;null;null;
1990-02-28;null;null;null;210,4;41,6;null;null;null;20,192857;null;null;null;null;
1990-03-31;null;null;null;230,7;27,9;null;null;null;20,745161;null;null;null;null;
1990-04-30;null;null;null;184,7;16,5;null;null;null;20,506667;null;null;null;null;
1990-05-31;null;null;null;187,6;64,1;null;null;null;20,187097;null;null;null;null;
1990-06-30;null;null;null;145,6;72,8;null;null;null;18,183333;null;null;null;null;
1990-07-31;null;null;null;142;47,1;null;null;null;18,058065;null;null;null;null;
1990-08-31;null;null;null;150,8;53,7;null;null;null;17,541935;null;null;null;null;
1990-09-30;null;null;null;147,7;58,7;null;null;null;18,076667;null;null;null;null;
1990-10-31;null;null;null;164,3;52,1;null;null;null;19,348387;null;null;null;null;
1990-11-30;null;null;null;185,3;46,4;null;null;null;20,093103;null;null;null;null;
1990-12-31;null;null;null;201,9;92,6;null;null;null;20,006452;null;null;null;null;
1991-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-02-28;null;null;null;217,6;1;null;null;null;20,796429;null;null;null;null;
1991-03-31;null;null;null;193;100,1;null;null;null;20,664516;null;null;null;null;
1991-04-30;null;null;null;189,2;75,9;null;null;null;20,243333;null;null;null;null;
1991-05-31;null;null;null;150;103,7;null;null;null;19,154839;null;null;null;null;
1991-06-30;null;null;null;100,5;146,9;null;null;null;17,776667;null;null;null;null;
1991-07-31;null;null;null;150,6;50,1;null;null;null;16,264516;null;null;null;null;
1991-08-31;null;null;null;114,1;61,4;null;null;null;16,087097;null;null;null;null;
1991-09-30;null;null;null;140,1;36,6;null;null;null;16,993333;null;null;null;null;
1991-10-31;null;null;null;null;,8;null;null;null;17,341935;null;null;null;null;
1991-11-30;null;null;null;null;41,6;null;null;null;19,683333;null;null;null;null;
1991-12-31;null;null;null;null;47,3;null;null;null;20,051613;null;null;null;null;
1992-01-31;null;null;null;null;190,2;null;null;null;19,758065;null;null;null;null;
1992-02-29;null;null;null;null;224,4;null;null;null;19,272414;null;null;null;null;
