Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;214,3;17,3;null;31,683871;null;20,1;null;null;null;null;
1990-02-28;null;null;null;214,9;28,3;null;33,507143;null;20,403571;null;null;null;null;
1990-03-31;null;null;null;250,6;12,6;null;34,193548;null;20,941935;null;null;null;null;
1990-04-30;null;null;null;213,1;30,2;null;33,006667;null;21,436667;null;null;null;null;
1990-05-31;null;null;null;208,4;17,8;null;32,048387;null;20,403226;null;null;null;null;
1990-06-30;null;null;null;176,8;39,7;null;29,18;null;19,066667;null;null;null;null;
1990-07-31;null;null;null;151,9;19,2;null;29,441935;null;18,893548;null;null;null;null;
1990-08-31;null;null;null;199,5;51,1;null;29,527586;null;18,712903;null;null;null;null;
1990-09-30;null;null;null;177,2;27;null;30,558621;null;19,33;null;null;null;null;
1990-10-31;null;null;null;176,1;42;null;31,196774;null;20,929032;null;null;null;null;
1990-11-30;null;null;null;230,3;32,2;null;33,82;null;21,513333;null;null;null;null;
1990-12-31;null;null;null;214,3;44,5;null;33,503226;null;21,593548;null;null;null;null;
1991-01-31;null;null;null;216,3;50,4;null;34,196667;null;21,851613;null;null;null;null;
1991-02-28;null;null;null;255,6;2;null;35,871429;null;22,107143;null;null;null;null;
1991-03-31;null;null;null;200,3;129,4;null;33,780645;null;22,035484;null;null;null;null;
1991-04-30;null;null;null;217,6;55,6;null;32,063333;null;22,01;null;null;null;null;
1991-05-31;null;null;null;164;58,5;null;29,977419;null;21,141935;null;null;null;null;
1991-06-30;null;null;null;131,9;110,4;null;27,362069;null;19,786667;null;null;null;null;
1991-07-31;null;null;null;156,4;37,1;null;27,116129;null;17,490323;null;null;null;null;
1991-08-31;null;null;null;122,3;38,2;null;27,21;null;17,922581;null;null;null;null;
1991-09-30;null;null;null;147,2;13;null;29,586667;null;18,436667;null;null;null;null;
1991-10-31;null;null;null;219,1;,9;null;32,243333;null;18,47;null;null;null;null;
1991-11-30;null;null;null;188,6;59,1;null;33,733333;null;21,356667;null;null;null;null;
1991-12-31;null;null;null;248,4;12,2;null;34,893548;null;21,867742;null;null;null;null;
1992-01-31;null;null;null;165;149,8;null;34,241935;null;21,806452;null;null;null;null;
1992-02-29;null;null;null;116;135,7;null;30,264286;null;21,834483;null;null;null;null;
1992-03-31;null;null;null;228,6;65,7;null;31,267742;null;21,396774;null;null;null;null;
1992-04-30;null;null;null;222,5;58,8;null;32,096552;null;20,893333;null;null;null;null;
1992-05-31;null;null;null;238,5;15,8;null;32,09;null;19,441935;null;null;null;null;
1992-06-30;null;null;null;143,4;37;null;28,92;null;18,793333;null;null;null;null;
1992-07-31;null;null;null;164,9;65,7;null;27,719355;null;18,56129;null;null;null;null;
1992-08-31;null;null;null;170,4;19,2;null;28,533333;null;17,8;null;null;null;null;
1992-09-30;null;null;null;160,9;24,8;null;30,103333;null;19,15;null;null;null;null;
1992-10-31;null;null;null;255,4;13,3;null;32,754839;null;19,380645;null;null;null;null;
1992-11-30;null;null;null;196,3;25,8;null;33,633333;null;21,393333;null;null;null;null;
1992-12-31;null;null;null;200,9;104;null;32,766667;null;21,080645;null;null;null;null;
1993-01-31;null;null;null;227,7;21,8;995,76413;33,603226;26,372903;20,664516;59,330645;9;3,065217;null;
1993-02-28;null;null;null;208,1;16,1;994,914286;34,617857;27,027143;21,303571;56,330357;9;2,904762;null;
1993-03-31;null;null;null;274,2;1,5;995,331183;35,241935;27,102581;20,712903;57,137097;6;2,494624;null;
1993-04-30;null;null;null;218,1;27,7;994,84;34,103333;26,96;21,716667;63,45;7;2,78;null;
1993-05-31;null;null;null;188,1;31,3;996,383871;31,216129;25,397419;21,216129;71,637097;8;2,752688;null;
1993-06-30;null;null;null;158,7;39,5;999,237778;29,016667;23,356;19,053333;75,125;9;2,477778;null;
