Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;232,6;34,2;null;29,854839;null;20,158065;null;null;null;null;
1990-02-28;null;null;null;218,7;6,6;null;31,703571;null;20,717857;null;null;null;null;
1990-03-31;null;null;null;242,7;34;null;31,877419;null;21,096774;null;null;null;null;
1990-04-30;null;null;null;217,8;77;null;30,42;null;20,736667;null;null;null;null;
1990-05-31;null;null;null;182;104,4;null;28,545161;null;20,23871;null;null;null;null;
1990-06-30;null;null;null;144,1;200,3;null;25,973333;null;18,37;null;null;null;null;
1990-07-31;null;null;null;170,1;35,2;null;26,280645;null;18,045161;null;null;null;null;
1990-08-31;null;null;null;171,9;95,3;null;26,054839;null;17,945161;null;null;null;null;
1990-09-30;null;null;null;173,9;78,3;null;27,113793;null;18,55;null;null;null;null;
1990-10-31;null;null;null;169,5;102,7;null;28,15;null;19,570968;null;null;null;null;
1990-11-30;null;null;null;219,9;82,4;null;29,923333;null;20,513333;null;null;null;null;
1990-12-31;null;null;null;242,9;105,7;null;30,045161;null;20,819355;null;null;null;null;
1991-01-31;null;null;null;185,7;38,6;null;30,922581;null;21,03871;null;null;null;null;
1991-02-28;null;null;null;238,2;58,1;null;32,192857;null;21,039286;null;null;null;null;
1991-03-31;null;null;null;241,2;172,9;null;30,941935;null;20,887097;null;null;null;null;
1991-04-30;null;null;null;197,9;64,9;null;29,456667;null;20,593333;null;null;null;null;
1991-05-31;null;null;null;167,8;159,3;null;27,53871;null;19,583871;null;null;null;null;
1991-06-30;null;null;null;126,3;149,9;null;25,855172;null;18,44;null;null;null;null;
1991-07-31;null;null;null;158,4;129;null;25,568966;null;16,925806;null;null;null;null;
1991-08-31;null;null;null;148,5;111;null;25,163333;null;16,893548;null;null;null;null;
1991-09-30;null;null;null;140,9;45,1;null;26,633333;null;17,99;null;null;null;null;
1991-10-31;null;null;null;248,3;61,2;null;28,825806;null;18,5;null;null;null;null;
1991-11-30;null;null;null;149,2;84,2;null;29,883333;null;20,44;null;null;null;null;
1991-12-31;null;null;null;234,4;89,7;null;31,367742;null;20,8;null;null;null;null;
1992-01-31;null;null;null;144,6;146,6;null;30,970968;null;21,009677;null;null;null;null;
1992-02-29;null;null;null;122,9;220,2;null;28,789286;null;20,086207;null;null;null;null;
1992-03-31;null;null;null;243,2;62,6;null;29,764516;null;20,403226;null;null;null;null;
1992-04-30;null;null;null;208;22,1;null;30,917241;null;20,5;null;null;null;null;
1992-05-31;null;null;null;236,3;44,5;null;29,654839;null;19,432258;null;null;null;null;
1992-06-30;null;null;null;152,1;207,6;null;26,362069;null;18,493333;null;null;null;null;
1992-07-31;null;null;null;153,5;124,2;null;25,3;null;17,345161;null;null;null;null;
1992-08-31;null;null;null;196,3;61,6;null;26,226667;null;17,145161;null;null;null;null;
1992-09-30;null;null;null;212;61,6;null;27,1;null;17,893333;null;null;null;null;
1992-10-31;null;null;null;257,8;5,4;null;30,12;null;18,922581;null;null;null;null;
1992-11-30;null;null;null;177,9;22,7;null;30,082143;null;20,13;null;null;null;null;
1992-12-31;null;null;null;203,1;132,1;null;30,04;null;20;null;null;null;null;
1993-01-31;156;null;null;260,2;61,7;null;31,248387;25,005806;20,135484;74,580645;4,4;1,951111;null;
1993-02-28;167,1;null;null;234,5;,7;null;32,064286;25,542143;20,585714;71,955357;4,4;1,979268;null;
1993-03-31;194,8;null;null;278,5;36,5;null;32,409677;25,664516;20,335484;71,685484;4,4;1,836782;null;
1993-04-30;153,7;null;null;231;43,5;null;31,746667;25,439333;20,82;78,808333;4,4;1,802326;null;
1993-05-31;87,7;null;null;176,8;104,6;null;28,032258;23,44129;19,748387;87,564516;4,4;1,747674;null;
1993-06-30;69;null;null;183,6;132,8;null;26,206667;21,729333;18,196667;88,85;4,4;1,607865;null;
1993-07-31;92,9;null;null;240,3;53,5;null;26,696774;21,547742;17,419355;86,032258;4,4;1,93;null;
1993-08-31;81;null;null;173,2;60,3;null;25,990323;21,372258;17,767742;85,241935;4,4;2,247826;null;
1993-09-30;115,6;null;null;205,2;30,6;null;28,393333;22,877333;18,753333;77,983333;6,7;2,656667;null;
1993-10-31;130,9;null;null;219,5;85,9;null;28,896774;23,672903;19,780645;76,879032;6,7;2,950538;null;
1993-11-30;148,4;null;null;221,6;53,7;null;30,39;24,562;20,17;73,85;6,7;2,657303;null;
1993-12-31;186,3;null;null;243,8;35,8;null;32;25,389032;20,912903;69,322581;6,7;2,696739;null;
1994-01-31;211,7;null;null;267,3;11;null;33,551613;26,429032;21,580645;65,943548;6,7;2,931183;null;
1994-02-28;156,8;null;null;212,6;60,3;null;32,328571;25,902857;21,225;71,517857;4,4;2,520482;null;
1994-03-31;132,7;null;null;228,6;126,1;null;31,73871;25,909677;21,706452;77,08871;4,4;2,025;null;
1994-04-30;84,5;null;null;178,2;251,6;null;28,823333;24,270667;20,693333;83,516667;4,4;1,957471;null;
1994-05-31;68,4;null;null;206,2;189,5;null;27,806452;23,429677;19,903226;84,741935;4,4;1,67957;null;
1994-06-30;62,6;null;null;147,1;85,1;null;26,556667;22,434667;19,086667;79,65;4,4;2,417045;null;
1994-07-31;67,2;null;null;158,3;172,1;null;25,474194;21,345806;17,906452;73;4,4;2,302174;null;
1994-08-31;87;null;null;185,5;57,3;null;25,870968;21,016774;17,109677;75,637097;4,4;2,303226;null;
1994-09-30;101,7;null;null;160,5;98,1;null;26,44;21,755333;17,726667;77,583333;4,4;2,444944;null;
1994-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1994-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1994-12-31;181,2;null;null;206,8;14,3;null;31,845161;25,332903;20,667742;74,08871;4,4;2,247826;null;
1995-01-31;212,6;null;null;286,1;0;null;33,503226;26,296774;20,674194;69,298387;4,4;2,052688;null;
1995-02-28;187;null;null;246,1;9,4;null;33,814286;26,761429;21,571429;72,071429;4,4;1,844048;null;
1995-03-31;177,6;null;null;204,4;73;null;32,774194;26,257419;21,603226;77;4,4;2,145161;null;
1995-04-30;93,9;null;null;185,5;148,5;null;29,623333;24,758667;20,896667;83,016667;4,4;1,945556;null;
1995-05-31;74,8;null;null;173,4;87,9;null;28,3;23,877419;20,283871;87,072581;4,4;1,662366;null;
1995-06-30;63,7;null;null;123,8;113,5;null;25,926667;21,872;18,396667;89,516667;4,4;2,061111;null;
1995-07-31;74;null;null;179,6;130,4;null;25,867742;21,666452;17,990323;88,209677;4,4;1,970968;null;
1995-08-31;100,4;null;null;203,4;58,1;994,220968;26,164516;21,626452;17,951613;82,959677;6,8;2,91828;null;
1995-09-30;117,6;null;null;229,8;102,3;993,671111;27,146667;22,225333;18,55;80,875;7,8;3,752222;null;
1995-10-31;176,1;null;null;263,8;3,9;989,147312;30,241935;24,154839;20,006452;74,491935;8,3;3,949462;null;
1995-11-30;141;null;null;176,6;249;988,726667;29,466667;24,258;20,903333;79,416667;9,9;4,17;null;
1995-12-31;119,3;null;null;211,5;98,3;987,644086;30,370968;25,06;21,454839;79,314516;7,3;3,036559;null;
1996-01-31;178,4;null;null;241,6;58,7;987,097849;31,432258;25,609032;21,387097;77,758065;7,9;3,882796;null;
1996-02-29;172,3;null;null;273;59;987,44023;31,968966;26,001379;21,775862;77,594828;7,6;3,617241;null;
1996-03-31;191,1;null;null;246,7;24,5;986,86129;32,848387;26,794839;22,625806;77,564516;8,3;3,613978;null;
1996-04-30;105,5;null;null;187,2;349,5;988,326667;28,853333;24,577333;21,626667;85,091667;8,3;3,561111;null;
1996-05-31;85,8;null;null;193,1;79,9;990,344086;27,464516;23,234194;20,119355;85,177419;7,4;3,277419;null;
1996-06-30;64,5;null;null;139,9;191,3;992,811111;25,48;21,561333;18,75;88,591667;8,6;3,562222;null;
1996-07-31;84,5;null;null;174,5;120,2;994,229032;25,193548;20,98;17,835484;85,83871;8,2;3,332258;null;
1996-08-31;80,4;null;null;165,4;101,8;993,546237;25,293548;21,189032;18,309677;86,290323;8,9;3,633333;null;
1996-09-30;94,3;null;null;177,5;156,8;992,33;27,09;22,332667;19,003333;85,833333;9,4;3,915556;null;
1996-10-31;137,6;null;null;223,6;32,9;989,686022;29,435484;24,111613;20,706452;80,080645;7,5;3,805376;null;
1996-11-30;133,7;null;null;181,5;173,6;987,883333;30,033333;24,699333;21,383333;82,183333;8,5;4,141111;null;
1996-12-31;169,6;null;null;273,3;28,7;987,851613;31,316129;25,610968;22,06129;74,701613;8,9;3,703261;null;
1997-01-31;208,9;null;null;210,4;18,4;987,572043;31,76129;25,874194;22,012903;73,08871;8,1;3,755914;null;
1997-02-28;111,2;null;null;139,1;128,7;989,352381;28,896429;24,528571;21,417857;80,866071;7,6;3,153571;null;
1997-03-31;91,7;null;null;135,9;358,1;988,173118;28,816129;24,311613;21,306452;84,201613;7,5;3,037634;null;
1997-04-30;98;null;null;179,5;71,2;989,734444;28,443333;24,244;21,233333;82,708333;8,5;3,149438;null;
1997-05-31;67,8;null;null;125,2;221,3;991,884946;26,258065;22,625161;20,277419;86,435484;7,7;3,512903;null;
1997-06-30;86,8;null;null;159;30;991,153333;26,916667;22,582667;19,456667;83,708333;5,8;2,738889;null;
1997-07-31;96,6;null;null;164,6;124,7;994,760215;25,609677;21,188387;18,054839;85,717742;7,9;3,17957;null;
1997-08-31;114,6;null;null;184,4;64,7;995,072043;25,929032;21,205806;17,66129;81,620968;9,1;3,518478;null;
1997-09-30;159,3;null;null;226,4;9,4;990,212222;29,696667;23,675333;19,893333;78,094828;8,1;3,275556;null;
1997-10-31;179,6;null;null;210,2;95,9;988,91828;30,596774;24,620645;20,864516;75,612903;8,7;3,849462;null;
1997-11-30;204;null;null;243,7;38,5;988,474444;31,876667;25,7;21,243333;72,841667;8,5;3,577778;null;
1997-12-31;218,9;null;null;229,7;49,8;988,269892;32,76129;26,438065;22,2;72,798387;9,9;3,701075;null;
1998-01-31;222,6;null;null;210,6;53,2;987,531183;32,883871;26,924516;23,190323;73,983871;8,6;3,880435;null;
1998-02-28;208,8;null;null;227,8;12,9;988,030952;33,667857;27,361429;23,260714;71,723214;7,9;3,97381;null;
1998-03-31;215,6;null;null;258,2;87,1;988,058065;33,222581;27,184516;23,164516;74,201613;8,9;4,143011;null;
1998-04-30;115,3;null;null;200,6;151;989,622222;29,133333;24,540667;21,64;90,35;9,1;3,559551;null;
1998-05-31;109,2;null;null;203,3;63,8;991,526882;28,319355;23,951613;20,729032;83,879032;7,7;3,273118;null;
1998-06-30;76,4;null;null;138,8;193,2;994,034444;25,93;22,088;19,416667;88,025;9,5;3,686667;null;
1998-07-31;81,7;null;null;176,9;112,9;993,643011;26,045161;22,071613;19,348387;87,91129;7,6;3,516129;null;
1998-08-31;98,8;null;null;199,3;134,7;993,070968;26,825806;22,250323;18,983871;85,403226;8,3;3,065591;null;
1998-09-30;118,2;null;null;223,8;72,3;992,385556;27,82;22,859333;19,176667;83,15;8,6;3,613483;null;
1998-10-31;162,1;null;null;243,4;57,8;990,713978;29,893548;24,305161;20,574194;78,991935;6,8;3,791304;null;
1998-11-30;125,9;null;null;151,6;74,8;987,285556;31,07;25,482;22,186667;82,541667;9,1;3,461111;null;
1998-12-31;170,4;null;null;222,3;74,7;987,45914;31,667742;25,795484;21,958065;82,16129;7,2;3,451613;null;
