Nome: CAMACARI
Codigo Estacao: 83226
Latitude: -12.691233
Longitude: -38.337536
Altitude: 41.17
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2006-07-24
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-01-31;151,2;null;null;135,9;71,9;1005,972826;31,835484;26,701935;23,064516;76,41129;6,2;2,527174;null;
1992-02-29;71,8;null;null;94;254;1009,072414;29,158621;25,182759;21,962069;82,982759;5,8;1,637931;null;
1992-03-31;103,6;null;null;261,9;132,6;1008,531183;30,187097;25,634194;21,964516;80,580645;5,7;1,606452;null;
1992-04-30;84,7;null;null;173,6;49,3;1007,211111;30,316667;25,688;21,94;79,85;5,2;1,521111;null;
1992-05-31;91;null;null;216,2;48;1008,508602;29,725806;24,608387;20,712903;80,66129;4,5;1,466667;null;
1992-06-30;74,1;null;null;105;208,7;1011,574444;27,446667;23,221333;20,073333;83,075;5,5;1,628889;null;
1992-07-31;67,3;null;null;150,8;185,8;1013,605376;26,367742;22,036129;18,290323;84,129032;6;1,846237;null;
1992-08-31;78,2;null;null;173,7;85,3;1013,270968;26,780645;22,301935;18,73871;81,669355;4,8;1,645161;null;
1992-09-30;99,7;null;null;172,1;87,1;1010,836667;27,61;23,150667;19,556667;80,075;7,4;2,652222;null;
