Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;96,8;null;null;266,9;51,1;null;1005,573913;29,951613;26,454667;23,522581;80,548387;2,1;,98;
1990-02-28;77,4;null;null;236,6;33,8;null;1004,766667;30,675;26,991852;24,303571;80,178571;2;,891566;
1990-03-31;98;null;null;248;70,8;null;1005,53871;30,329032;27,202069;24,519355;84,790323;7;,898925;
1990-04-30;92,6;null;null;238,8;50,9;null;1005,208046;30,617241;27,162609;24,743333;81,923913;1,6;,902299;
1990-05-31;73,3;null;null;169,4;326;null;1006,707527;28,732258;25,921333;23,503226;86,225;2;,965;
1990-06-30;71,2;null;null;160,3;211,7;null;1009,268889;27,123333;24,488276;22,333333;85,341667;1,6;,803333;
1990-07-31;68;null;null;168,7;267,2;null;1009,251613;26,55;23,98;21,951613;85,05;4;,952747;
1990-08-31;null;null;null;null;208,7;null;null;26,727586;null;21,425806;null;null;null;
1990-09-30;null;null;null;null;134,3;null;null;27,2;null;22,193333;null;null;null;
1990-10-31;null;null;null;162,3;296,9;null;null;28,332258;null;22,948387;null;null;null;
1990-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-12-31;null;null;null;210,9;241,1;null;null;29,376923;null;23,13871;null;null;null;
1991-01-31;74,5;null;null;181,3;188,4;null;1004,555435;29,535484;26,241379;23,577419;80,774194;1,5;,82069;
1991-02-28;63,4;null;null;219,8;86,8;null;1004,80119;30,410714;26,654167;23,596429;81,767857;1,3;,77284;
1991-03-31;null;null;null;196,6;112,9;null;1003,902353;30,2;27,042727;24,092308;80,817308;2,6;1,22561;
1991-04-30;78,1;null;null;214,7;304,5;null;1005,147778;29,483333;null;null;81,284483;4,3;1,454444;
1991-05-31;null;null;null;null;298,2;null;1007,015;27,729032;null;null;85,855263;5;1,91039;
1991-06-30;58,2;null;null;125,2;316,5;null;1006,633708;26,341379;23,892381;21,21;86,25;8;1,683908;
1991-07-31;81;null;null;181,7;100,2;null;1007,178409;25,932258;23,529333;20,812903;82,416667;5,1;1,967778;
1991-08-31;97,6;null;null;172,4;129,1;null;1008,350538;25,583871;23,044516;20,370968;81,572581;6,6;2,442391;
1991-09-30;91,7;null;null;160;73,9;null;1005,457778;26,746667;23,818462;21,07;82,791667;5,5;1,84;
1991-10-31;101,8;null;null;274,8;30,9;null;1004,83956;28,754839;25,108571;21,803226;77,641667;3,8;1,754839;
1991-11-30;82,4;null;null;157,5;96,6;null;1001,427778;29,323333;25,622667;22,88;81,391667;4,1;1,723596;
1991-12-31;89,3;null;null;236,7;31;null;1001,243011;30,167742;26,486429;23,703226;80,458333;4,1;1,677419;
1992-01-31;83,6;null;null;164,9;76,7;null;1001,201075;30,193548;26,382581;23,993548;82,669355;3,3;1,580645;
1992-02-29;59;null;null;142,3;217,5;null;1004,869767;28,365517;25,465517;23,158621;84,25;3,3;1,554651;
1992-03-31;92,6;null;null;270,8;92,7;null;1004,344086;29,858065;26,649677;24,506452;79,508065;3,3;1,695506;
1992-04-30;66,7;null;null;206,1;128,5;null;1003,053333;29,433333;26,416;24,303333;81,925;3,3;1,362222;
1992-05-31;88,5;null;null;242,3;107;null;1004,135484;29,209677;25,896129;23,564516;78,677419;3;1,468817;
1992-06-30;71,5;null;null;177,6;197;null;1007,277778;27,146667;24,280667;22,113333;81,208333;6,6;1,695556;
1992-07-31;90,4;null;null;168,6;196,1;null;1009,452747;26,051613;23,589032;21,896774;80,534483;6;2,027174;
1992-08-31;95;null;null;206,3;102,5;null;1009,022581;26,403226;23,594839;21,467742;79,435484;5;1,908602;
1992-09-30;90,9;null;null;213;93,3;null;1006,527778;27,096667;24,065333;21,796667;79,941667;7,8;2,202299;
1992-10-31;110,1;null;null;264,1;23,8;null;1005,22043;29,209677;25,49871;22,970968;76,580645;5,5;2,180645;
1992-11-30;87,4;null;null;196,1;207,7;null;1002,843333;28,603333;25,368;23,09;81,741667;4,1;2,112222;
1992-12-31;84,6;null;null;191;132,7;null;1002,990217;29,151613;25,664516;23,109677;82,191667;4,1;1,826087;
1993-01-31;107,1;null;null;267,7;12,7;null;1004,188172;30,370968;26,616129;24,048387;77,483871;4,1;1,598889;
1993-02-28;122,7;null;null;257,5;5,5;null;1003,577381;31,425;27,330714;24,721429;74,151786;3,8;1,661905;
1993-03-31;139,9;null;null;293,7;12,3;null;1003,776344;31,493548;27,445161;24,76129;73,266129;4,5;1,852747;
1993-04-30;100,6;null;null;233,6;107,9;null;1005,744444;30,267857;26,763571;24,233333;79,491667;9,8;1,776404;
1993-05-31;73,8;null;null;173,8;386,8;null;1008,823656;27,803226;25,223871;23,074194;84,419355;7,8;1,896774;
1993-06-30;89,5;null;null;193,9;180,8;null;1011,603333;26,773333;24,138667;21,92;83,25;9,8;2,016667;
1993-07-31;93,3;null;null;240,8;117,4;null;1012,244086;27,106452;24,14129;21,490323;78,604839;5,6;1,596774;
1993-08-31;93,8;null;null;196,8;164,6;null;1012,409677;26,303226;23,636774;21,087097;81,653226;5;1,803226;
1993-09-30;77,8;null;null;216,7;72,7;null;1009,857778;27,746667;24,436;21,736667;81,558333;7,5;1,858427;
1993-10-31;92,3;null;null;229,7;110;null;1009,534409;28,203226;25,06129;22,116129;81,66129;5;1,821505;
1993-11-30;103,9;null;null;null;48,9;null;1007,368889;29,73;26,134667;22,993333;78,233333;4,1;1,768889;
1993-12-31;130,7;null;null;null;13,6;null;1006,548387;30,935484;26,977419;23,909677;76,153226;4,5;1,808791;
1994-01-31;129,7;null;null;null;30;null;1005,686022;31,683871;27,552903;24,509677;76,580645;3;1,376344;
1994-02-28;103,4;null;null;null;65,2;null;1006,728571;30,610714;27,263571;24,375;78,526786;3,3;1,328916;
1994-03-31;92;null;null;231,7;240,3;null;1006,332258;30,416129;27,135484;24,174194;83,201613;4,1;1,447826;
1994-04-30;76,3;null;null;180,2;424,9;null;1007,628889;29,04;26,137333;23,23;85,525;6,6;1,623333;
1994-05-31;71,5;null;null;183,3;197,6;null;1009,016129;28,409677;25,652903;23,229032;84,137097;6,1;1,367742;
1994-06-30;66,8;null;null;144,5;477,8;null;1010,8;27,053333;24,660667;22,343333;86,191667;10,1;2,043333;
