Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.155843
Longitude: -45.008269
Altitude: 447.51
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;254,2;22;null;null;32,362069;null;19,156667;null;null;null;
1990-02-28;null;null;null;151,7;273,3;null;null;31,433333;null;20,364286;null;null;null;
1990-03-31;null;null;null;240,2;35,9;null;null;31,474194;null;20,074194;null;null;null;
1990-04-30;null;null;null;235,2;8,2;null;null;32,867857;null;19,403571;null;null;null;
1990-05-31;null;null;null;251,8;27,7;null;null;32,364516;null;19,364516;null;null;null;
1990-06-30;null;null;null;276,2;0;null;null;31,863333;null;15,796667;null;null;null;
1990-07-31;null;null;null;248,5;8;null;null;32,813793;null;15,43;null;null;null;
1990-08-31;null;null;null;271,8;2,7;null;null;33,345161;null;17,06129;null;null;null;
1990-09-30;null;null;null;211,3;5,4;null;null;35,14;null;20,188462;null;null;null;
1990-10-31;null;null;null;212,8;71,1;null;null;34,865517;null;21,006897;null;null;null;
1990-11-30;null;null;null;197,4;149,4;null;null;33,213793;null;20,413793;null;null;null;
1990-12-31;null;null;null;185,3;82,5;null;null;32,22069;null;20,703448;null;null;null;
1991-01-31;77,9;null;null;143,6;229,4;null;960,784884;30,412903;24,651667;20,712903;80,442308;5;1,025581;
1991-02-28;100,4;null;null;185,2;70,3;null;961,054167;31,922222;25,164706;20,646429;77,526316;4;,888889;
1991-03-31;89,8;null;null;null;214,7;null;960,177419;31,270968;null;20,316129;null;4,1;,903279;
1991-04-30;95,4;null;null;null;44,9;null;961,472727;31,7;null;19,57037;null;3,3;,836667;
1991-05-31;null;null;null;null;3,4;null;null;31,87037;null;18,090323;null;null;null;
1991-06-30;183,4;null;null;242,1;0;null;964,003333;32,343333;null;15,886667;null;3,5;1,28;
