Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;205;43,9;null;null;30,103226;null;15,509677;null;null;null;
1990-02-28;null;null;null;128,8;35,8;null;null;30,440741;null;15,257143;null;null;null;
1990-03-31;null;null;null;203,2;35,9;null;null;31,119355;null;15,916129;null;null;null;
1990-04-30;null;null;null;191,7;10,4;null;null;30,81;null;15,65;null;null;null;
1990-05-31;null;null;null;137;131,8;null;null;29,503226;null;14,332258;null;null;null;
1990-06-30;null;null;null;129,9;27,3;null;null;26,7;null;13,263333;null;null;null;
1990-07-31;null;null;null;165,2;50,1;null;null;27,067742;null;12,983871;null;null;null;
1990-08-31;null;null;null;135;44,6;null;null;27,23871;null;13,419355;null;null;null;
1990-09-30;null;null;null;136,6;33,6;null;null;29,396552;null;14,236667;null;null;null;
1990-10-31;null;null;null;142,5;173,1;null;null;29,233333;null;15,319355;null;null;null;
1990-11-30;null;null;null;154,3;81,8;null;null;30,516667;null;15,12;null;null;null;
1990-12-31;null;null;null;175;133,9;null;null;30,786667;null;15,470968;null;null;null;
1991-01-31;null;null;null;129;168,8;null;null;29,374194;null;16,1;null;null;null;
1991-02-28;null;null;null;170,9;24,2;null;null;33,096429;null;16,385714;null;null;null;
1991-03-31;null;null;null;149,4;223,5;null;null;29,32;null;15,703226;null;null;null;
1991-04-30;null;null;null;153,2;54;null;null;29,306667;null;16,15;null;null;null;
1991-05-31;null;null;null;134,5;89,7;null;null;29,553571;null;14,83871;null;null;null;
1991-06-30;null;null;null;55,3;53,3;null;null;26,18;null;13,893333;null;null;null;
1991-07-31;null;null;null;null;76,1;null;null;null;null;13,38;null;null;null;
1991-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-09-30;null;null;null;null;2,5;null;null;null;null;13,72;null;null;null;
1991-10-31;null;null;null;128,2;5,8;null;null;null;null;14,593548;null;null;null;
1991-11-30;null;null;null;87,1;215,9;null;null;null;null;15,4;null;null;null;
1991-12-31;null;null;null;133,3;124,3;null;null;null;null;15,264516;null;null;null;
1992-01-31;null;null;null;null;81,6;null;962,208333;23,422222;null;15,133333;null;null;null;
1992-02-29;null;null;null;null;null;null;965,661017;27,79;22,181;13,46;82;1,6;null;
1992-03-31;100;null;null;183,9;117,8;null;965,113978;29,225806;20,411613;null;81,862903;3,3;1,033333;
1992-04-30;94,7;null;null;161,8;81,4;null;963,825556;29,526667;20,177333;null;82,208333;2,8;,977333;
1992-05-31;90,3;null;null;194;35,1;null;964,305376;28,670968;null;null;82,645161;2,6;,622581;
1992-06-30;83,6;null;null;40,7;86,3;null;967,43;25,606667;null;null;84,433333;null;null;
1992-07-31;82,5;null;null;91,5;41,6;null;969,810145;20,948387;null;null;null;4,1;,877083;
1992-08-31;115,5;null;null;null;6;null;967,501613;21,103571;null;null;null;2,5;null;
1992-09-30;94,4;null;null;null;44,6;null;966,176667;21,048276;null;null;null;3;,990385;
1992-10-31;140,1;null;null;133,1;21,6;null;965,080645;23,227586;null;null;null;3,6;1,4875;
1992-11-30;113,9;null;null;null;91,8;null;963,933333;23,410345;null;null;null;3,5;null;
1992-12-31;74,5;null;null;89,8;258,5;null;963,424194;22,623333;null;null;null;6,1;1,120968;
1993-01-31;null;null;null;null;0;null;null;null;null;null;null;null;null;
1993-02-28;104;null;null;163,2;50,9;null;963,725;23,757143;null;null;null;3,3;1,05;
1993-03-31;178,1;null;null;255,1;5,2;null;963,764516;24,887097;null;null;null;3,3;1,056452;
1993-04-30;160,6;null;null;null;3,8;null;963,04;24,353333;null;null;null;3,8;1,181667;
1993-05-31;120,1;null;null;146,4;5,1;null;964,246429;22,885714;null;null;null;4,6;1,273214;
1993-06-30;null;null;null;118,4;5;null;967,374;20,433333;null;null;null;3,3;,988;
1993-07-31;null;null;null;null;0;null;967,524444;20,504348;null;null;null;3,8;,997826;
1993-08-31;137,6;null;null;143,1;1,7;null;967,670968;21,006667;null;null;null;4,1;1,330645;
1993-09-30;null;null;null;null;0;null;null;null;null;null;null;null;null;
1993-10-31;null;null;null;null;0;null;964,428125;24,2875;null;null;null;4,1;null;
1993-11-30;null;null;null;null;2,1;null;962,958537;24,085714;null;null;null;5;null;
1993-12-31;186;null;null;159,9;56,5;null;962,398214;24,776;null;null;null;3,3;1,232143;
1994-01-31;null;null;null;null;,9;null;null;null;null;null;null;null;null;
1994-02-28;null;null;null;null;145,5;null;962,669444;25,377778;null;null;null;3,5;null;
1994-03-31;null;null;null;null;null;null;962,6475;24,765;null;null;null;7,5;null;
1994-04-30;null;null;null;null;198,3;null;964,702857;23,6;null;null;null;3,3;null;
1994-05-31;null;null;null;122,4;32,2;null;965,486;22,033333;null;null;null;3;,958333;
1994-06-30;118;null;null;null;0;null;967,668333;21,9;null;null;null;3,3;null;
1994-07-31;86,9;null;null;92,8;44,2;null;968,140323;20,14;null;null;null;4,6;,691667;
1994-08-31;140,7;null;null;173,3;18,1;null;967,445161;20,507143;null;null;null;3;,5;
1994-09-30;121,3;null;null;116;24;null;966,563333;21,64;null;null;null;8,5;null;
1994-10-31;null;null;null;null;7,3;null;963,504167;24,170833;null;null;null;4,5;1,13125;
1994-11-30;180,4;null;null;171,9;114,9;null;962,63494;30,368966;null;null;69,49;5;1,319277;
1994-12-31;170,9;null;null;163;22,1;null;962,62963;32,406897;null;null;70,59375;3,5;1,151852;
