Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;237,6;51,4;null;30,83871;null;20,429032;null;null;null;null;
1990-02-28;null;null;null;179,5;58,5;null;31,846429;null;20,621429;null;null;null;null;
1990-03-31;null;null;null;239,8;31,4;null;32,932258;null;20,719355;null;null;null;null;
1990-04-30;null;null;null;204,5;18,3;null;32,563333;null;20,153333;null;null;null;null;
1990-05-31;null;null;null;156,9;33,3;null;31,003226;null;19,919355;null;null;null;null;
1990-06-30;null;null;null;147,8;51,4;null;28,433333;null;18,146667;null;null;null;null;
1990-07-31;null;null;null;174,4;17,4;null;29,106452;null;17,53871;null;null;null;null;
1990-08-31;null;null;null;141,1;28,4;null;28,609677;null;17,812903;null;null;null;null;
1990-09-30;null;null;null;165,2;30,6;null;30,336667;null;19,226667;null;null;null;null;
1990-10-31;null;null;null;172;69,9;null;31,419355;null;20,26129;null;null;null;null;
1990-11-30;null;null;null;181,4;22,5;null;33,1;null;20,543333;null;null;null;null;
1990-12-31;null;null;null;211,8;111,2;null;33,423333;null;21,103226;null;null;null;null;
1991-01-31;null;null;null;184,1;51;null;32,496774;null;21,725806;null;null;null;null;
1991-02-28;null;null;null;240;15,4;null;34,832143;null;21,857143;null;null;null;null;
1991-03-31;null;null;null;null;95,3;null;32,716129;null;21,393548;null;null;null;null;
1991-04-30;null;null;null;null;22,7;null;32,45;null;20,86;null;null;null;null;
1991-05-31;null;null;null;169;53,7;null;30,332258;null;19,145161;null;null;null;null;
1991-06-30;null;null;null;134,9;66,1;null;26,936667;null;18,45;null;null;null;null;
1991-07-31;null;null;null;162,3;36,6;null;27,477419;null;16,441935;null;null;null;null;
1991-08-31;null;null;null;138,5;24,6;null;27,619355;null;17,548387;null;null;null;null;
1991-09-30;null;null;null;133,1;12,3;null;29,728571;null;18,153333;null;null;null;null;
1991-10-31;null;null;null;187,2;7,7;null;31,464516;null;19,629032;null;null;null;null;
1991-11-30;null;null;null;136,4;166,9;null;30,216667;null;21,833333;null;null;null;null;
1991-12-31;null;null;null;192,4;106,1;null;31,341935;null;null;null;null;null;null;
1992-01-31;null;null;null;130,9;343,1;null;30,53871;null;null;null;null;null;null;
1992-02-29;null;null;null;124,5;134;null;29,006897;null;null;null;null;null;null;
1992-03-31;null;null;null;null;28,6;null;31,33871;null;null;null;null;null;null;
1992-04-30;null;null;null;null;22,6;null;32,248276;null;null;null;null;null;null;
1992-05-31;null;null;null;155,3;30,1;null;31,090323;null;null;null;null;null;null;
1992-06-30;null;null;null;122,6;67,4;null;27,275862;null;null;null;null;null;null;
1992-07-31;null;null;null;142,8;66,8;null;26,319355;null;null;null;null;null;null;
1992-08-31;null;null;null;165,4;14,3;null;28,532258;null;null;null;null;null;null;
1992-09-30;null;null;null;150,8;19,4;null;30,06;null;null;null;null;null;null;
1992-10-31;null;null;null;198,2;29,9;null;32,341935;null;null;null;null;null;null;
1992-11-30;null;null;null;139,6;41,1;null;31,824138;null;null;null;null;null;null;
1992-12-31;null;null;null;131,7;85,7;null;30,753333;null;null;null;null;null;null;
1993-01-31;192,1;null;null;219,5;24,2;983,048913;32,545161;null;null;65,774194;null;null;null;
1993-02-28;230,4;null;null;200;10,6;981,682143;34,210714;null;null;61,053571;null;null;null;
1993-03-31;373;null;null;262,5;23;982,105376;34,719355;null;null;61,16129;null;null;null;
1993-04-30;320,4;null;null;212,8;10,7;981,804444;33,856667;null;null;63,291667;null;null;null;
1993-05-31;282,9;null;null;182,9;6,2;983,021505;31,735484;null;null;68,717742;null;null;null;
1993-06-30;197,3;null;null;176,6;28;986,44;29,17;null;null;72,116667;null;null;null;
1993-07-31;229,9;null;null;220,8;29,6;986,744086;29,403226;null;null;69,322581;null;null;null;
1993-08-31;223,7;null;null;161,6;24,8;986,649462;29,019355;null;null;70,064516;null;null;null;
1993-09-30;262,6;null;null;190,9;5,9;983,96;31,893333;null;null;64,575;null;null;null;
1993-10-31;292,3;null;null;199,1;14,7;983,633333;32,7;21,776129;null;64,943548;null;null;null;
1993-11-30;318,9;null;null;204,9;50,2;981,653333;33,31;null;null;63,683333;null;null;null;
1993-12-31;338,5;null;null;225,8;,4;980,951613;34,416129;null;null;61,274194;null;null;null;
1994-01-31;333,5;null;null;202,2;20,5;980,066667;35,296774;null;null;58,153226;null;null;null;
1994-02-28;253,1;null;null;null;41,3;981,161905;34,164286;null;null;65,446429;null;null;null;
1994-03-31;184,7;null;null;218,2;195,5;980,651613;32,729032;null;null;70,395161;null;null;null;
1994-04-30;143,1;null;null;160,2;51,3;981,978889;31,05;null;null;75,191667;null;null;null;
1994-05-31;122,2;null;null;200,3;39,3;983,389247;29,874194;null;null;77,991935;null;null;null;
1994-06-30;145,4;null;null;133;16,6;985,42;29,28;null;null;74,85;null;null;null;
1994-07-31;87,9;null;null;126,9;82,1;986,960215;26,641935;null;null;81,209677;null;null;null;
1994-08-31;165,2;null;null;202,4;8,7;986,106452;28,977419;null;null;72,201613;null;null;null;
1994-09-30;189,5;null;null;null;32,8;985,742222;29,49;null;null;71,766667;null;null;null;
1994-10-31;278,1;null;null;null;1,5;983,084946;32,683871;null;null;63,282258;null;null;null;
1994-11-30;268,8;null;null;193;23,8;981,331111;33,123333;null;null;64,675;null;null;null;
1994-12-31;289,1;null;null;212,3;71,9;981,111828;34,03871;24,137419;null;61,08871;null;null;null;
1995-01-31;266;null;null;269,8;25,7;981,253763;35,174194;27,400645;20,951613;58,741935;null;null;null;
1995-02-28;283,6;null;null;225,8;9,2;980,75119;35,710714;28,390714;22,5;57,75;null;null;null;
1995-03-31;236,1;null;null;229,2;52,7;981,388172;33,835484;27,347097;21,422581;64,306452;null;null;null;
1995-04-30;133,6;null;null;188,5;62,8;980,918889;31,97;25,498;18,223333;74,683333;null;null;null;
1995-05-31;157;null;null;172,7;24,1;982,398925;31,503226;25,045806;17,622581;72,983871;null;null;null;
1995-06-30;167,4;null;null;139;24,9;985,694444;28,92;22,752667;14,54;72,341667;null;null;null;
1995-07-31;108,9;null;null;147;54,5;986,32043;27,203226;21,210968;13,6;81,75;null;null;null;
1995-08-31;151,4;null;null;202,2;20,5;986,380645;29,429032;21,88;13,503226;69,822581;6,3;null;null;
1995-09-30;237,8;null;null;212,6;15,6;986,422222;30,543333;22,884667;14,453333;65,4;6,8;2,892222;null;
