Nome: ALAGOINHAS
Codigo Estacao: 83249
Latitude: -12.1486111
Longitude: -38.42527777
Altitude: 129.78
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;241;46,3;null;30,690323;null;19,645161;null;null;null;null;
1990-02-28;null;null;null;227,8;14,9;null;32,771429;null;20,317857;null;null;null;null;
1990-03-31;null;null;null;241,3;41,1;null;32,883333;null;20,306667;null;null;null;null;
1990-04-30;null;null;null;218,6;71,5;null;31,316667;null;20,72;null;null;null;null;
1990-05-31;null;null;null;182,7;124,5;null;30,080645;null;20,790323;null;null;null;null;
1990-06-30;null;null;null;null;112,6;null;27,71;null;18,793333;null;null;null;null;
1990-07-31;null;null;null;null;91,5;null;27,264516;null;18,6;null;null;null;null;
1990-08-31;null;null;null;null;119,8;null;27,2;null;18,406452;null;null;null;null;
1990-09-30;null;null;null;null;95,8;null;28,086207;null;18,843333;null;null;null;null;
1990-10-31;null;null;null;176,8;108,4;null;29,26129;null;20,332258;null;null;null;null;
1990-11-30;null;null;null;232,1;80,7;null;31,113333;null;20,25;null;null;null;null;
1990-12-31;null;null;null;222,5;120,9;null;30,86;null;20,736667;null;null;null;null;
1991-01-31;null;null;null;217,7;21,3;null;32,077419;null;20,748387;null;null;null;null;
1991-02-28;null;null;null;250,8;20,1;null;34,128571;null;21,303571;null;null;null;null;
1991-03-31;null;null;null;null;108,5;null;32,26;null;21,273333;null;null;null;null;
1991-04-30;null;null;null;null;205,5;null;30,1;null;21,326667;null;null;null;null;
1991-05-31;null;null;null;160,4;239,8;null;28,283871;null;20,645161;null;null;null;null;
1991-06-30;null;null;null;120,4;180,5;null;26,94;null;19,663333;null;null;null;null;
1991-07-31;null;null;null;153,1;110,9;null;26,283871;null;17,203226;null;null;null;null;
1991-08-31;null;null;null;131,9;69,2;null;26,232258;null;17,46129;null;null;null;null;
1991-09-30;null;null;null;125,5;74,6;null;27,983333;null;17,903333;null;null;null;null;
1991-10-31;null;null;null;191,4;19,2;null;30,054839;null;17,690323;null;null;null;null;
1991-11-30;null;null;null;121,1;27,3;null;31,923333;null;21,083333;null;null;null;null;
1991-12-31;null;null;null;194,4;20,9;null;33,7;null;21,367742;null;null;null;null;
1992-01-31;85,1;null;null;118,2;88,4;996,084783;33,335484;26,400645;22,267742;83,854839;5,3;2,123913;null;
1992-02-29;78,3;null;null;98,8;195,3;999,08046;29,813793;24,729655;21,458621;89,094828;8,8;1,595402;null;
1992-03-31;116,3;null;null;null;91,4;998,565591;30,706452;24,941935;20,822581;87,16129;6,6;1,91413;null;
1992-04-30;108,1;null;null;null;20,1;997,327778;31,396667;25,062;20,586207;86,083333;5;1,668539;null;
1992-05-31;115,2;null;null;216,8;63,2;998,57957;30,767742;24,177419;19,383871;87,129032;4,5;1,433696;null;
1992-06-30;78,9;null;null;142,4;146,5;1001,634444;27,626667;22,552;19,046667;92,308333;4,8;1,554444;null;
1992-07-31;66,4;null;null;135,9;133,1;1003,608602;26,480645;21,426452;17,929032;92,435484;4,3;1,492473;null;
1992-08-31;64,7;null;null;144,2;90,1;1003,406452;26,9;21,64;17,712903;90,185484;4,3;1,496774;null;
1992-09-30;96,7;null;null;185,5;71,6;1000,826667;28,026667;22,478;18,28;88,475;5,8;2,070455;null;
1992-10-31;147,7;null;null;265;11,1;999,637634;30,677419;23,838065;18,312903;83,225806;6;2,293478;null;
1992-11-30;168,4;null;null;190,9;85,6;997,32;31,496667;25,001333;20,39;77,233333;5,6;2,346667;null;
1992-12-31;140,4;null;null;197,9;104,3;997,458065;31,26129;24,949677;20,545161;78,354839;5,6;2,006522;null;
1993-01-31;155,3;null;null;252,1;54,6;998,594624;32,354839;25,426452;20,406452;76,379032;5,8;2,119355;null;
1993-02-28;176,3;null;null;240,2;1,9;997,644048;33,485714;25,954286;20,178571;77,785714;5,8;2,24881;null;
1993-03-31;216,5;null;null;226,3;8;998,027957;34,422581;26,270323;20,070968;77,08871;5,8;2,148387;null;
1993-04-30;156,3;null;null;215,1;76,9;997,393333;32,793333;25,998;21,38;78,858333;5,6;1,913333;null;
1993-05-31;83,8;null;null;186,1;129,5;999,037634;28,983871;24,023226;20,667742;87,145161;4,3;1,594624;null;
1993-06-30;76,3;null;null;190,9;69,9;1001,744444;27,796667;22,692;19,376667;87,4;4,1;1,388889;null;
1993-07-31;83,2;null;null;232,4;32,7;1002,305376;28,109677;21,804516;17,148387;85,032258;5,1;1,609677;null;
1993-08-31;84,4;null;null;176,1;126;1002,425806;27,767742;22,156129;18,241935;86,040323;4,3;1,545161;null;
1993-09-30;59,3;null;null;202,3;51,6;999,965556;29,43;23,522;19,25;81,791667;5,1;1,957778;null;
1993-10-31;138,2;null;null;224,6;55,9;999,494624;30,583871;24,592903;20,545161;79,879032;4,8;2,225806;null;
1993-11-30;158,4;null;null;250,5;65,1;997,428889;31,64;25,204;20,706667;77,975;5,5;2,086667;null;
1993-12-31;164;null;null;271,9;9,3;996,583871;33,696774;26,318065;21,035484;72,862903;5;2,328261;null;
1994-01-31;187,9;null;null;276,7;6,7;995,794624;34,651613;27,158065;21,929032;72,604839;4,8;2,255914;null;
1994-02-28;155,4;null;null;199,4;35,2;996,861905;33,5;26,697143;21,835714;74,901786;5,5;2,183333;null;
1994-03-31;147,5;null;null;240;14,9;996,47957;34,835484;27,494839;22,580645;74,443548;5,6;2,057609;null;
1994-04-30;101,9;null;null;190,5;158,8;997,992222;30,553333;25,474;22,086667;85,3;5;1,442222;null;
