Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.251097
Longitude: -43.405365
Altitude: 447.75
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;254,9;9,6;null;null;31,616667;null;20,33871;null;null;null;
1990-02-28;null;null;null;176;194,1;null;null;31,125;null;21,060714;null;null;null;
1990-03-31;null;null;null;282,9;2;null;null;32,653333;null;21,116129;null;null;null;
1990-04-30;null;null;null;null;4,4;null;null;33,07;null;20,64;null;null;null;
1990-05-31;null;null;null;null;null;null;null;33,034483;null;20,483333;null;null;null;
1990-06-30;null;null;null;null;null;null;null;31,658621;null;18,646667;null;null;null;
1990-07-31;null;null;null;null;1,2;null;null;32,293333;null;17,13871;null;null;null;
1990-08-31;null;null;null;null;null;null;null;32,613333;null;18,119355;null;null;null;
1990-09-30;null;null;null;198,5;1,6;null;null;34,137931;null;20,233333;null;null;null;
1990-10-31;null;null;null;206,4;68;null;null;34,751613;null;21,46129;null;null;null;
1990-11-30;null;null;null;null;45,1;null;null;33,9;null;21,357895;null;null;null;
1990-12-31;null;null;null;null;191,2;null;null;31,906452;null;21,225806;null;null;null;
1991-01-31;null;null;null;null;128,4;null;null;30,883333;null;21,245161;null;null;null;
1991-02-28;null;null;null;214,5;92,2;null;null;32,985185;null;21,332143;null;null;null;
1991-03-31;null;null;null;203,5;152,1;null;null;32,503571;null;21,183333;null;null;null;
1991-04-30;null;null;null;268,3;40,4;null;null;32,066667;null;20,063333;null;null;null;
1991-05-31;null;null;null;228,7;9,5;null;null;31,487097;null;19,164516;null;null;null;
1991-06-30;null;null;null;260,9;0;null;null;30,87;null;21,066667;null;null;null;
1991-07-31;null;null;null;270,6;2,9;null;null;30,567742;null;16,703226;null;null;null;
1991-08-31;null;null;null;268,2;0;null;null;31,28;null;17,176667;null;null;null;
1991-09-30;null;null;null;178,6;9,8;null;null;33,26;null;19,317241;null;null;null;
1991-10-31;null;null;null;270,8;20,5;null;null;35,475;null;21,333333;null;null;null;
1991-11-30;null;null;null;102,4;286,4;null;null;31,307143;null;21,455172;null;null;null;
1991-12-31;null;null;null;197,8;112,2;null;null;31,31;null;21,329032;null;null;null;
1992-01-31;null;null;null;null;379;null;960,334783;28,916667;24,194;21;82,887097;3,3;1,159783;
1992-02-29;null;null;null;null;156,1;null;963,031034;28,072414;23,827586;20,403448;86,456897;2,5;1,089655;
1992-03-31;null;null;null;233,2;6,2;null;962,25914;31,134483;25,473793;20,237931;74,153226;5,4;1,322581;
1992-04-30;null;null;null;246,9;19,2;null;960,984444;32,226667;26,044667;20,71;71,558333;4,1;1,124444;
1992-05-31;188,9;null;null;242,9;,7;null;961,858065;31,980645;24,850323;18,709677;63,806452;3,3;1,166667;
1992-06-30;211,6;null;null;209;1,2;null;965,032222;29,976667;23,192667;17,573333;61,983333;4,1;1,52;
1992-07-31;251;null;null;280,1;0;null;966,519355;30,4;23,109032;16,770968;57,072581;4,1;1,525806;
1992-08-31;291,8;null;null;100;2,8;null;965,178495;32,464516;24,717419;17,377419;54,072581;3,8;1,327957;
1992-09-30;294,7;null;null;220,9;3,4;null;962,313333;33,35;26,436;19,373333;50,825;3,1;1,257778;
1992-10-31;249;null;null;214,6;103,4;null;961,582796;34,087097;27,26;22,083871;57,846774;4,6;1,082609;
1992-11-30;133,7;null;null;173;107,5;null;960,174157;30,633333;25,188276;20,38;76,043103;3,8;1,01236;
1992-12-31;79,4;null;null;118,8;398,7;null;961,129032;29,083871;23,828387;19,932258;85,895161;4,1;,905376;
1993-01-31;137,4;null;null;258,6;47,6;null;962,297849;30,954839;24,863226;19,825806;78,391667;3,1;,963441;
1993-02-28;115,5;null;null;220,3;87,9;null;961,161905;31,835714;25,240714;20,32963;78,660714;3;1,1;
1993-03-31;235,7;null;null;306,1;12,6;null;960,970968;34,764516;27,151613;20,067742;65,653226;3,1;1,284946;
1993-04-30;179,1;null;null;257,7;62,5;null;960,85;33,3;26,042;20,383333;65,45;3,3;1,17;
1993-05-31;225,6;null;null;270,6;2,5;null;962,344086;32,596774;25,290323;18,874194;58,612903;4,1;1,417204;
1993-06-30;221,2;null;null;265,3;0;null;964,978889;31,333333;23,72;16,686667;55,633333;3,3;1,335556;
1993-07-31;267,7;null;null;288,7;0;null;964,904301;32,403226;24,206452;16,767742;50,112903;3,3;1,153763;
1993-08-31;288,5;null;null;267,6;0;null;964,307527;33,422581;25,817419;18,403226;48,104839;3,3;1,156989;
1993-09-30;308,4;null;null;239,6;29,2;null;961,514444;35,526667;27,789333;20,583333;45,85;2,5;1,21;
1993-10-31;300,8;null;null;235,9;25,6;null;961,582796;35,458065;28,290323;21,677419;49,814516;3,3;1,173118;
1993-11-30;262,5;null;null;204,2;57,2;null;959,701111;35,443333;28,176667;21,453333;54,5;4,1;1,435556;
1993-12-31;191,3;null;null;173,2;132,2;null;960,458065;33,151613;26,627097;21,490323;68,459677;6;1,12043;
1994-01-31;121,4;null;null;213,8;153,2;null;960,565591;31,877419;25,942581;21,548387;77,669355;4,5;,969892;
1994-02-28;131,9;null;null;null;68,7;null;961,067857;33,135714;26,562143;21,15;73,866071;3,4;,891667;
1994-03-31;94,8;null;null;215,8;311,9;null;961,525806;30,829032;25,405806;21,277419;81,145161;3,4;,701087;
1994-04-30;118,7;null;null;235,3;57,1;null;962,724444;30,806667;25,060667;20,893333;75,741667;3,4;,812222;
1994-05-31;180,4;null;null;276,2;,5;null;963,13871;32,203226;25,074839;19,135484;64,653226;3,1;,986022;
1994-06-30;190,4;null;null;277,3;12,6;null;964,542222;31,88;24,644;18,306667;61,383333;4,1;1,166667;
1994-07-31;234,6;null;null;277,8;1,7;null;966,193548;31,46129;24,109677;17,325806;56,540323;5;1,446237;
1994-08-31;280,6;null;null;9;0;null;964,725806;32,558065;24,398065;16,770968;48,508065;3,5;1,141935;
1994-09-30;319,7;null;null;null;0;null;963,904444;34,233333;26,822667;19,36;46,325;3,1;1,324444;
1994-10-31;309,8;null;null;null;7,9;null;960,745161;36,551613;28,750968;21,445161;43,66129;3,8;1,35914;
