Nome: ITIRUCU (JAGUAQUARA)
Codigo Estacao: 83295
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.53
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2016-01-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;176,6;40,8;null;27,3;null;17,277419;null;null;null;null;
1990-02-28;null;null;null;137;49,4;null;28,246429;null;18,196429;null;null;null;null;
1990-03-31;null;null;null;164,4;29,7;null;28,583871;null;18,316129;null;null;null;null;
1990-04-30;null;null;null;162,5;35,5;null;28,18;null;17,91;null;null;null;null;
1990-05-31;null;null;null;125,6;31,3;null;26,273333;null;17,53871;null;null;null;null;
1990-06-30;null;null;null;114,7;61,5;null;23,58;null;15,893333;null;null;null;null;
1990-07-31;null;null;null;134,6;24,5;null;24,293548;null;15,354839;null;null;null;null;
1990-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-09-30;null;null;null;86;28,7;null;24,69;null;15,913333;null;null;null;null;
1990-10-31;null;null;null;102,9;95;null;26,65;null;17,358065;null;null;null;null;
1990-11-30;null;null;null;156,5;61,5;null;28,53;null;17,716667;null;null;null;null;
1990-12-31;null;null;null;160,2;109,7;null;28,49;null;17,974194;null;null;null;null;
1991-01-31;null;null;null;129,5;39,7;null;28,480645;null;18,509677;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-04-30;null;null;null;180,3;23;null;27,743333;null;18,223333;null;null;null;null;
1991-05-31;null;null;null;133,9;76,2;null;25,3;null;17,270968;null;null;null;null;
1991-06-30;null;null;null;104,3;74,1;null;23,01;null;15,85;null;null;null;null;
1991-07-31;null;null;null;132;57,4;null;22,803226;null;14,519355;null;null;null;null;
1991-08-31;null;null;null;103,1;59,9;null;22,341935;null;14,364516;null;null;null;null;
1991-09-30;null;null;null;107,2;24,9;null;24,7;null;15,383333;null;null;null;null;
1991-10-31;null;null;null;153,9;33,9;null;26,648387;null;15,954839;null;null;null;null;
1991-11-30;null;null;null;97;154,7;null;27,017241;null;17,833333;null;null;null;null;
1991-12-31;null;null;null;171,4;104,7;null;28,622581;null;18,148387;null;null;null;null;
1992-01-31;null;null;null;111;253,1;null;27,723333;null;18,541935;null;null;null;null;
1992-02-29;null;null;null;null;null;null;24,86;null;17,74;null;null;null;null;
1992-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-05-31;null;null;null;163,7;33,7;null;26,741935;null;17,003226;null;null;null;null;
1992-06-30;null;null;null;101,6;139,4;null;23,075862;null;15,88;null;null;null;null;
1992-07-31;null;null;null;117,7;93,2;null;22,316129;null;14,677419;null;null;null;null;
1992-08-31;null;null;null;126,9;50;null;23,525806;null;14,806452;null;null;null;null;
