Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;250,8;10,2;null;26,972414;null;16,883333;null;null;null;null;
1990-02-28;null;null;null;164;180,6;null;27,157143;null;17,678571;null;null;null;null;
1990-03-31;null;null;null;286,5;27,1;null;27,948387;null;17,619355;null;null;null;null;
1990-04-30;null;null;null;239;3;null;28,023333;null;17,503333;null;null;null;null;
1990-05-31;null;null;null;209,6;1,6;null;26,856667;null;16,964516;null;null;null;null;
1990-06-30;null;null;null;194,8;8,4;null;24,965517;null;14,796667;null;null;null;null;
1990-07-31;null;null;null;230,8;,4;null;26,034483;null;14,7;null;null;null;null;
1990-08-31;null;null;null;196,8;28,3;null;25,431034;null;15,245161;null;null;null;null;
1990-09-30;null;null;null;222,1;13,3;null;27,589286;null;15,73;null;null;null;null;
1990-10-31;null;null;null;200,3;54,4;null;28,523333;null;17,135484;null;null;null;null;
1990-11-30;null;null;null;null;111;null;28,972414;null;17,77;null;null;null;null;
1990-12-31;null;null;null;null;125,2;null;27,87;null;17,564516;null;null;null;null;
1991-01-31;null;null;null;170,7;222,8;null;27,474194;null;17,812903;null;null;null;null;
1991-02-28;null;null;null;219,1;80,9;null;29,039286;null;18,35;null;null;null;null;
1991-03-31;null;null;null;null;122;null;27,622581;null;18,125806;null;null;null;null;
1991-04-30;null;null;null;null;58,8;null;27,473333;null;17,69;null;null;null;null;
1991-05-31;null;null;null;null;14,2;null;25,803448;null;16,177419;null;null;null;null;
1991-06-30;null;null;null;null;4,9;null;24,993333;null;15,186667;null;null;null;null;
1991-07-31;null;null;null;null;5,4;null;24,290323;null;13,4;null;null;null;null;
1991-08-31;null;null;null;null;11,5;null;24,5;null;13,196774;null;null;null;null;
1991-09-30;null;null;null;182,5;17,4;null;27,077778;null;15,376667;null;null;null;null;
1991-10-31;null;null;null;243;5,9;null;28,622581;null;15,993548;null;null;null;null;
1991-11-30;null;null;null;102,9;274;null;26,560714;null;17,503333;null;null;null;null;
1991-12-31;null;null;null;166,4;116,8;null;26,974194;null;17,441935;null;null;null;null;
1992-01-31;null;null;null;null;493;null;25,6;null;17,867742;null;null;null;null;
1992-02-29;null;null;null;null;159,6;null;24,303571;null;16,755172;null;null;null;null;
1992-03-31;null;null;null;null;,6;null;26,49;null;17,106667;null;null;null;null;
1992-04-30;null;null;null;null;28,3;null;27,356667;null;17,056667;null;null;null;null;
1992-05-31;null;null;null;null;7,9;null;26,706452;null;16,319355;null;null;null;null;
1992-06-30;null;null;null;null;22,2;null;23,541379;null;14,503333;null;null;null;null;
1992-07-31;null;null;null;null;25,8;null;23,458065;null;13,180645;null;null;null;null;
1992-08-31;null;null;null;254,9;6,3;null;25,564516;null;14,064516;null;null;null;null;
1992-09-30;null;null;null;215,1;5,2;null;26,886667;null;15,146667;null;null;null;null;
1992-10-31;null;null;null;184,4;35,2;null;28,329032;null;16,719355;null;null;null;null;
1992-11-30;null;null;null;139,7;200;null;26,140741;null;16,626667;null;null;null;null;
1992-12-31;null;null;null;88,4;313,6;null;25,35;null;16,851613;null;null;null;null;
1993-01-31;140;null;null;224,3;51,2;914,632584;27,346667;21,700667;16,476667;61,55;null;null;null;
1993-02-28;175,3;null;null;229,7;27,2;913,597619;28,285714;22,295714;17,067857;58,464286;null;null;null;
1993-03-31;236,6;null;null;93;0;915,273118;30,835484;23,903871;17,077419;43,169355;null;null;null;
1993-04-30;208,3;null;null;null;13,6;914,882222;29,143333;23,222667;17,6;54,033333;null;null;null;
1993-05-31;188,3;null;null;224,7;25,8;916,22043;26,970968;21,342581;15,983871;59,564516;null;null;null;
1993-06-30;183,4;null;null;206,3;,9;918,631111;25,32;19,691333;13,843333;55,3;null;null;null;
1993-07-31;224,6;null;null;256,6;10,4;918,369892;25,851613;19,934839;13,896774;52,862903;null;null;null;
1993-08-31;258,9;null;null;258;1,2;918,158065;26,954839;20,765806;14,348387;48,491935;null;null;null;
1993-09-30;279,5;null;null;234,5;1,8;915,72;29,663333;23,122;16,223333;46,55;null;null;null;
1993-10-31;286,6;null;null;254,1;16,4;915,772043;29,687097;23,637419;17,019355;46,201613;null;null;null;
1993-11-30;279,7;null;null;225,6;48,6;914,317778;30,373333;24,103333;17,543333;47,975;null;null;null;
1993-12-31;180,9;null;null;163,6;228,7;913,752688;28,106452;23,032258;17,677419;63,782258;null;null;null;
1994-01-31;129,1;null;null;222,8;94,8;913,744086;28,119355;23,015484;17,851613;70,887097;null;null;null;
1994-02-28;201,4;null;null;224;51,4;914,271429;30,207143;24,099286;18,325;57,955357;null;null;null;
1994-03-31;94,1;null;null;173,8;182,1;914,396774;26,64;21,944;17,435484;77,733871;null;null;null;
1994-04-30;96,7;null;null;185;105,5;915,97;null;null;16,97;78,491667;null;null;null;
1994-05-31;134,2;null;null;238,9;3,6;916,916129;null;null;15,658065;67,08871;null;null;null;
1994-06-30;141,5;null;null;212,8;2,5;918,028889;null;null;14,556667;65,475;null;null;null;
1994-07-31;183,8;null;null;226,8;5,6;919,549462;null;null;13,690323;62,637097;null;null;null;
1994-08-31;239,5;null;null;282,1;0;918,522581;null;null;13,264516;47,33871;null;null;null;
1994-09-30;265;null;null;null;8,9;917,661111;null;null;14,593333;47,525;null;null;null;
