Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;236,3;21,3;null;null;26,916129;null;17,141176;null;null;null;
1990-02-28;null;null;null;166,4;75,4;null;null;26,960714;null;17,682143;null;null;null;
1990-03-31;null;null;null;246,2;45,5;null;null;28,23871;null;17,554839;null;null;null;
1990-04-30;null;null;null;219,1;40,8;null;null;27,355172;null;17,486667;null;null;null;
1990-05-31;null;null;null;169;12,1;null;null;25,53871;null;16,845161;null;null;null;
1990-06-30;null;null;null;185,4;16,8;null;null;23,931034;null;15,246667;null;null;null;
1990-07-31;null;null;null;185,5;26,3;null;null;23,829032;null;15,003226;null;null;null;
1990-08-31;null;null;null;132;42,7;null;null;22,377419;null;14,958065;null;null;null;
1990-09-30;null;null;null;162,1;4,8;null;null;24,468966;null;15,46;null;null;null;
1990-10-31;null;null;null;170,7;89,8;null;null;26,368966;null;16,770968;null;null;null;
1990-11-30;null;null;null;198,2;150,6;null;null;27,813333;null;17,73;null;null;null;
1990-12-31;null;null;null;208,5;140,9;null;null;27,103571;null;17,353333;null;null;null;
1991-01-31;null;null;null;179,2;74,4;null;null;27,351613;null;17,348387;null;null;null;
1991-02-28;null;null;null;213,5;36,5;null;null;29,078571;null;17,833333;null;null;null;
1991-03-31;null;null;null;183,1;81,5;null;null;27,403226;null;null;null;null;null;
1991-04-30;null;null;null;204,2;13,5;null;null;26,32;null;null;null;null;null;
1991-05-31;null;null;null;152,2;27,9;null;null;24,19;null;16,151613;null;null;null;
1991-06-30;null;null;null;153,3;18,5;null;null;22,972414;null;15,236667;null;null;null;
1991-07-31;null;null;null;172,5;24;null;null;22,374194;null;14,016129;null;null;null;
1991-08-31;null;null;null;169,4;24,5;null;null;21,890323;null;13,46129;null;null;null;
1991-09-30;null;null;null;160,9;5,5;null;null;24,806897;null;14,817241;null;null;null;
1991-10-31;null;null;null;176,3;57,8;null;null;25,87037;null;15,841379;null;null;null;
1991-11-30;null;null;null;102,4;190,9;null;null;25,906897;null;17,903333;null;null;null;
1991-12-31;null;null;null;173,2;151,9;null;null;27,180645;null;18,106452;null;null;null;
1992-01-31;79,7;null;null;101;339,6;null;911,46087;26,016129;21,634839;18,516129;81,846774;6,6;2,863043;
1992-02-29;null;null;null;112,9;103,7;null;null;24,714286;null;17,224138;null;null;null;
1992-03-31;null;null;null;213,6;10,7;null;null;26,709677;null;17,332258;null;null;null;
1992-04-30;null;null;null;186,6;32,9;null;null;27,446667;null;17,87;null;null;null;
1992-05-31;null;null;null;204,3;56,5;null;null;26,26129;null;17,303226;null;null;null;
1992-06-30;null;null;null;135,1;42,6;null;null;22,251724;null;15,4;null;null;null;
1992-07-31;null;null;null;165,2;31,1;null;null;21,819355;null;13,848387;null;null;null;
1992-08-31;null;null;null;178,5;14,9;null;null;22,835484;null;14,580645;null;null;null;
1992-09-30;null;null;null;187,4;24,3;null;null;24,713793;null;15,123333;null;null;null;
1992-10-31;null;null;null;142,7;82,1;null;null;26,671429;null;null;null;null;null;
1992-11-30;null;null;null;112,3;126;null;null;25,325;null;null;null;null;null;
1992-12-31;82,5;null;null;117,2;190,5;null;912,404348;25,248387;null;null;82,282258;5;2,470652;
1993-01-31;132,9;null;null;238;46,8;null;913,74086;27,564516;null;null;75,274194;5,8;2,839785;
1993-02-28;95,1;null;null;172,3;139,2;null;913,222619;27,160714;null;null;80,6875;5,6;2,830952;
