Nome: ILHEUS
Codigo Estacao: 83348
Latitude: -14.8
Longitude: -39.07
Altitude: 60
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 1998-05-25
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;241;110,6;null;29,345161;null;21,712903;null;null;null;null;
1990-02-28;null;null;null;232,3;102,5;null;30,053571;null;21,928571;null;null;null;null;
1990-03-31;null;null;null;281,7;115,5;null;29,932258;null;21,958065;null;null;null;null;
1990-04-30;null;null;null;237,8;183,1;null;29,583333;null;21,546667;null;null;null;null;
1990-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-06-30;null;null;null;174,6;255,2;null;26,196552;null;19,606667;null;null;null;null;
1990-07-31;null;null;null;196,1;81,6;null;26,116129;null;19,383871;null;null;null;null;
1990-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-09-30;null;null;null;179,2;261,8;null;26,274074;null;19,32;null;null;null;null;
1990-10-31;null;null;null;180,2;331,6;null;27,058621;null;20,906452;null;null;null;null;
1990-11-30;null;null;null;217,6;102,3;null;28,71;null;21,4;null;null;null;null;
1990-12-31;null;null;null;225;130,7;null;28,893548;null;20,858065;null;null;null;null;
1991-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1992-07-31;70,1;null;null;135,6;177,1;1014,391803;26,012903;21,885806;18,316129;null;6,6;2,436667;null;
1992-08-31;null;null;null;null;2,5;null;null;null;null;null;null;null;null;
1992-09-30;78,4;null;null;186,5;152,9;1010,964912;26,706897;23,124138;19,031034;null;6,6;3,326316;null;
1992-10-31;92,8;null;null;205,1;164,2;1009,019355;27,787097;24,336129;20,06129;null;6,5;3,432258;null;
1992-11-30;81,8;null;null;152,2;233,3;1006,186667;27,69;24,664;21,043333;null;6,6;3,236667;null;
1992-12-31;null;null;null;null;81,8;null;null;null;null;null;null;null;null;
1993-01-31;null;null;null;null;105,1;1008,367442;29,677273;25,796364;21,295455;null;5,6;null;null;
1993-02-28;101,9;null;null;208;60,4;1007,4625;29,896429;26,047143;21,6;null;6,3;2,592857;null;
1993-03-31;116,5;null;null;296,2;90,4;1007,293548;30,251613;26,279355;21,241935;null;5;2,520968;null;
1993-04-30;103;null;null;249;219,3;1006,411667;29,58;25,952667;21,823333;null;5;2,515;null;
1993-05-31;89;null;null;198,2;228,1;1007,754839;28,064516;24,194839;20,606452;null;7;3,041935;null;
