Nome: CANAVIEIRAS
Codigo Estacao: 83398
Latitude: -15.67333332
Longitude: -38.96111111
Altitude: 4.71
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;null;58,2;null;29,632258;null;null;null;null;null;null;
1990-02-28;null;null;null;224,9;143,7;null;30,185714;null;null;null;null;null;null;
1990-03-31;null;null;null;null;144,2;null;30,193548;null;null;null;null;null;null;
1990-04-30;null;null;null;null;110,3;null;29,915385;null;null;null;null;null;null;
1990-05-31;null;null;null;null;132,9;null;28,66;null;null;null;null;null;null;
1990-06-30;null;null;null;null;259,9;null;27,262963;null;null;null;null;null;null;
1990-07-31;null;null;null;null;117,8;null;26,706667;null;null;null;null;null;null;
1990-08-31;null;null;null;null;337,3;null;26,065517;null;null;null;null;null;null;
1990-09-30;null;null;null;null;66,5;null;26,9;null;null;null;null;null;null;
1990-10-31;null;null;null;null;384,9;null;27,068966;null;null;null;null;null;null;
1990-11-30;null;null;null;null;149,5;null;28,703704;null;null;null;null;null;null;
1990-12-31;null;null;null;null;124,5;null;29,307692;null;null;null;null;null;null;
1991-01-31;null;null;null;null;107,2;null;29,66129;null;null;null;null;null;null;
1991-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-09-30;null;null;null;null;22,4;null;27,028;null;null;null;null;null;null;
1991-10-31;null;null;null;null;129,2;null;27,644444;null;null;null;null;null;null;
1991-11-30;null;null;null;112,1;226,9;null;27,692593;null;17,756;null;null;null;null;
1991-12-31;null;null;null;208,8;122,5;null;null;null;16,814286;null;null;null;null;
1992-01-31;null;null;null;105,6;293;null;null;null;null;null;null;null;null;
1992-02-29;null;null;null;151,6;235,3;null;null;null;null;null;null;null;null;
1992-03-31;null;null;null;170,4;235,5;null;null;null;null;null;null;null;null;
1992-04-30;null;null;null;212,9;85,9;null;null;null;null;null;null;null;null;
1992-05-31;null;null;null;201,3;94,9;null;null;null;null;null;null;null;null;
1992-06-30;null;null;null;140,6;251,9;null;null;null;null;null;null;null;null;
1992-07-31;null;null;null;164,8;114,3;null;null;null;null;null;null;null;null;
1992-08-31;null;null;null;133,8;172,9;null;25,672;null;15,674194;null;null;null;null;
1992-09-30;null;null;null;null;null;null;26,472222;null;19,747826;null;null;null;null;
1992-10-31;null;null;null;193,2;310,2;null;null;null;22,451852;null;null;null;null;
1992-11-30;null;null;null;169,6;265,8;null;null;null;null;null;null;null;null;
1992-12-31;null;null;null;147,3;145,7;null;null;null;null;null;null;null;null;
1993-01-31;null;null;null;270,2;25;1013,066304;null;null;null;76,072581;7;2,543478;null;
1993-02-28;null;null;null;197,5;69,6;1012,871429;null;null;null;77,571429;5;1,511905;null;
1993-03-31;null;null;null;9,9;45,6;1013,141935;null;null;null;76,298387;5;1,795699;null;
1993-04-30;null;null;null;221,3;171,9;1012,622222;null;null;null;80,241667;5;2,011111;null;
1993-05-31;null;null;null;177,1;158,3;1014,169892;null;null;null;84,217742;5;1,88172;null;
1993-06-30;null;null;null;176,3;206,5;1017,368889;null;null;null;89,125;6;1,644444;null;
1993-07-31;null;null;null;191,6;82,7;1017,405376;null;null;null;90,153226;5;1,795699;null;
1993-08-31;null;null;null;null;97,5;1017,827957;26,277419;21,56129;16,322581;90,524194;6;1,967742;null;
1993-09-30;null;null;null;176,3;57,5;1015,047191;27,486667;23,755862;17,863333;87,275862;6;2,719101;null;
1993-10-31;null;null;null;246;63,2;1014,596774;28,132258;24,869032;21,016129;88,129032;7;2,72043;null;
1993-11-30;null;null;null;231,1;58,7;1012,374444;29,016667;25,642;21,633333;89,033333;5;2,133333;null;
1993-12-31;null;null;null;230;109,3;1011,794624;29,280645;26,132258;22,512903;91,790323;6;1,924731;null;
1994-01-31;null;null;null;280,4;23,6;1010,616129;30,987097;27,160645;22,790323;91,580645;5;1,806452;null;
1994-02-28;null;null;null;202,4;162,5;1011,465476;30,478571;26,574286;22,560714;90,267857;6;2,154762;null;
1994-03-31;null;null;null;217,2;51,3;1011,31413;30,429032;26,668;22,887097;93,883333;5;1,43956;null;
1994-04-30;null;null;null;219,3;140,7;1012,959091;29,696667;25,557241;22,296667;93,071429;5;1,534091;null;
1994-05-31;null;null;null;199,1;82,6;1014,570968;28,63871;24,760645;21,054839;93,16129;5;1,505376;null;
1994-06-30;null;null;null;163,8;212,6;1016,211111;27,29;23,042667;19,536667;92,941667;6;1,966667;null;
1994-07-31;null;null;null;170,2;118,6;1018,532609;26,509677;22,332667;19,164516;94,166667;5;1,728261;null;
1994-08-31;null;null;null;179,3;79,3;1018,030108;26,535484;22,062581;18,187097;92,483871;5;1,88172;null;
1994-09-30;null;null;null;null;88,1;1017,266667;26,916667;23,085333;18,753333;90,9;6;2,255556;null;
1994-10-31;null;null;null;null;217,3;1014,360215;27,954839;24,325161;20,13871;91,33871;6;2,27957;null;
1994-11-30;null;null;null;208,4;114,1;1013,316667;28,38;25,201333;21,466667;91,833333;6;2,233333;null;
1994-12-31;null;null;null;228,7;126,7;1012,351613;29,412903;26,139355;22,235484;91,895161;5;2,236559;null;
1995-01-31;null;null;null;7,3;21,6;1011,968817;30,445161;26,657419;22,051613;92,25;6;2,268817;null;
1995-02-28;null;null;null;255,8;10,6;1011,945238;31,432143;27,635;22,939286;89,589286;6;1,934524;null;
1995-03-31;null;null;null;235,2;108,8;1011,315054;31,090323;27,045806;22,922581;92,475806;5;1,612903;null;
1995-04-30;null;null;null;160,1;337,3;1011,445556;29,41;25,935333;22,84;94,191667;4;1,277778;null;
1995-05-31;null;null;null;146,4;173,4;1013,125806;28,567742;25,090323;22,012903;93,846774;5;1,107527;null;
1995-06-30;null;null;null;118,1;210,4;1016,546667;27,336667;22,875333;19,033333;93,491667;5;1,166667;null;
1995-07-31;null;null;null;151,4;172,4;1017,04086;27,041935;23,138065;19,719355;94,129032;10,7;1,417204;null;
1995-08-31;null;null;null;157,8;74,5;1017,59011;27,2;23,315484;19,032258;92,784483;4;1,340659;null;
