Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2020-10-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;289,8;2,4;null;31,819355;null;19,919355;null;null;null;null;
1990-02-28;null;null;null;178,5;157,7;null;30,825;null;20,853571;null;null;null;null;
1990-03-31;null;null;null;294,2;0;null;32,475862;null;20,672414;null;null;null;null;
1990-04-30;null;null;null;265,8;,3;null;33,13;null;19,76;null;null;null;null;
1990-05-31;null;null;null;271,1;7;null;32,180645;null;18,925806;null;null;null;null;
1990-06-30;null;null;null;259,2;0;null;30,616667;null;16,013333;null;null;null;null;
1990-07-31;null;null;null;284,4;,2;null;31,412903;null;14,967742;null;null;null;null;
1990-08-31;null;null;null;259,7;0;null;31,29;null;17,483871;null;null;null;null;
1990-09-30;null;null;null;254,9;,6;null;33,35;null;19,717241;null;null;null;null;
1990-10-31;null;null;null;280,4;36,4;null;34,4;null;21,974194;null;null;null;null;
1990-11-30;null;null;null;236,8;78,6;null;33,883333;null;21,45;null;null;null;null;
1990-12-31;null;null;null;241,2;158,3;null;31,864516;null;21,248387;null;null;null;null;
1991-01-31;null;null;null;190,5;235,2;null;30,390323;null;21,309677;null;null;null;null;
1991-02-28;null;null;null;233,1;61,6;null;32,746429;null;21,667857;null;null;null;null;
1991-03-31;null;null;null;212,9;126,3;null;31,193548;null;21,358065;null;null;null;null;
1991-04-30;null;null;null;276,6;47,4;null;31,796667;null;20,083333;null;null;null;null;
1991-05-31;null;null;null;245,3;13,4;null;30,645161;null;17,706452;null;null;null;null;
1991-06-30;null;null;null;262,2;0;null;30,806667;null;15,956667;null;null;null;null;
1991-07-31;null;null;null;282,2;0;null;29,651613;null;15,196774;null;null;null;null;
1991-08-31;null;null;null;264;0;null;30,306452;null;15,625806;null;null;null;null;
1991-09-30;null;null;null;211,1;79,3;null;31,803448;null;18,353333;null;null;null;null;
1991-10-31;null;null;null;275,2;5,6;null;33,631034;null;20,070968;null;null;null;null;
1991-11-30;null;null;null;138;273,1;null;30,007143;null;20,313333;null;null;null;null;
1991-12-31;null;null;null;187,4;131,5;null;30,770968;null;20,567742;null;null;null;null;
1992-01-31;null;null;null;92,1;497,8;null;28,913793;null;20,63871;null;null;null;null;
1992-02-29;null;null;null;107,9;201,6;null;28,018519;null;20,210714;null;null;null;null;
1992-03-31;null;null;null;274,8;,1;null;31,874194;null;20,048387;null;null;null;null;
1992-04-30;null;null;null;241,1;6,6;null;32,306667;null;19,6;null;null;null;null;
1992-05-31;null;null;null;288,4;,2;null;32,023333;null;17,667742;null;null;null;null;
1992-06-30;null;null;null;242,6;4,6;null;29,746667;null;15,373333;null;null;null;null;
1992-07-31;null;null;null;287,7;,7;null;29,864516;null;14,725806;null;null;null;null;
1992-08-31;null;null;null;297,2;1,6;null;31,596667;null;15,76129;null;null;null;null;
1992-09-30;null;null;null;253,7;,6;null;32,583333;null;18,62;null;null;null;null;
1992-10-31;null;null;null;187,2;27,5;null;32,69;null;20,303333;null;null;null;null;
1992-11-30;null;null;null;155,8;195,3;null;29,76;null;19,47;null;null;null;null;
1992-12-31;null;null;null;107,8;267,5;null;27,78;null;19,629032;null;null;null;null;
1993-01-31;150;null;null;285;42,8;961,178261;30,996774;25,13871;18,854839;64,427419;3,8;1,788043;null;
1993-02-28;134,5;null;null;229;64,6;960,205952;32,05;25,913571;19,503571;62,258929;5;1,846429;null;
1993-03-31;273,1;null;null;10;1,3;960,031183;34,806452;27,526452;19,06129;50,467742;4,6;1,862366;null;
1993-04-30;203;null;null;253,4;29,5;960,184444;33,12;26,392667;19,323333;57,041667;5,6;1,85;null;
1993-05-31;219,8;null;null;268,4;0;961,837634;31,948387;24,809032;16,93871;55,419355;5;1,969892;null;
1993-06-30;233,2;null;null;258,9;0;964,291111;30,5;22,659333;14;52,316667;5,6;2,068889;null;
1993-07-31;257,9;null;null;297,8;0;964,106452;31,477419;23,031613;13,787097;50,951613;5;1,952688;null;
1993-08-31;284,2;null;null;269,4;0;963,56129;32,470968;24,288387;15,209677;47,862903;6,6;2,004301;null;
1993-09-30;301,7;null;null;243,1;6,6;960,708889;34,796667;26,848;17,903333;47,808333;6,1;2,201111;null;
1993-10-31;330,1;null;null;286,9;35,8;960,445161;35,051613;27,962581;20,003226;46,016129;6;2,750538;null;
1993-11-30;293,5;null;null;227,5;50;958,821111;35,186667;28,052667;20,7;52,275;5,5;2,351111;null;
1993-12-31;188,3;null;null;157,7;76,6;958,9;32,480645;26,433548;20,364516;60,604839;5;1,677419;null;
1994-01-31;137,4;null;null;203,7;169,7;959,169892;31,758065;25,851613;19,419355;68,959677;3,6;1,532258;null;
1994-02-28;165,6;null;null;255,7;75;959,438095;34,260714;27,097143;19,746429;59,410714;7,8;1,961905;null;
1994-03-31;106,4;null;null;219,8;181,3;960,077419;30,7;25,021935;19,087097;73,548387;5;1,660215;null;
1994-04-30;171,8;null;null;259,5;37,9;961,416667;31,106667;25,245333;18,723333;66,108333;6;2,173333;null;
1994-05-31;216,7;null;null;287;0;962,187097;32,26129;24,883871;16,332258;54,556452;5;1,930108;null;
1994-06-30;197;null;null;242,2;36;963,761111;31,19;23,464;14,53;55,866667;5,1;1,684444;null;
1994-07-31;240,3;null;null;277;0;965,366667;30,441935;22,861935;14,209677;56,451613;6,6;2,576344;null;
1994-08-31;284,4;null;null;9,4;0;964,04086;31,948387;23,285806;12,916129;50,564516;7,5;2,221505;null;
1994-09-30;331;null;null;281,1;0;962,93;33,303333;25,69;16,126667;52,925;6,6;2,616667;null;
1994-10-31;379,5;null;null;281,4;17,9;959,709677;35,622581;28,077419;19,332258;51,701613;6,1;2,516129;null;
1994-11-30;265,7;null;null;183,4;127;959,405556;32,983333;27,102;21,916667;63,683333;5,3;2,192222;null;
1994-12-31;195,2;null;null;218,4;108;959,732258;32,925806;26,787097;21,474194;61,862903;5,3;1,890323;null;
1995-01-31;196,2;null;null;269,6;132,9;959,670968;34,435484;27,59871;21,267742;57,5;5;1,687097;null;
1995-02-28;110,2;null;null;198,1;199,8;960,652381;31,464286;26;21,310714;67,991071;5;1,60119;null;
1995-03-31;154,5;null;null;253,5;125,6;959,447312;32,706452;26,772903;21,435484;65,564516;4,1;1,764516;null;
1995-04-30;143;null;null;255,6;30,5;959,885556;31,893333;26,248;21,026667;65,275;4,1;1,748889;null;
1995-05-31;180,5;null;null;248,4;11,2;961,16129;32,319355;25,932903;20,009677;60,080645;5;1,744086;null;
1995-06-30;212,4;null;null;265,8;0;963,962222;31,083333;23,331333;15,643333;52,258333;5,8;1,916667;null;
1995-07-31;254,9;null;null;279,8;0;963,963441;31,048387;23,731613;16,754839;51,096774;5,8;2,366667;null;
1995-08-31;347,5;null;null;10;0;963,582796;32,196774;24,787742;17,509677;44,612903;6,6;2,530108;null;
1995-09-30;376,2;null;null;293,2;0;963,355556;33,47;26,812667;20,136667;41,116667;7,5;3,113333;null;
1995-10-31;369,5;null;null;251,1;26,4;958,992473;35,209677;28,645161;22,474194;43,91129;6;2,569892;null;
1995-11-30;196,1;null;null;197,6;150;959,484444;31,7;26,209333;21,656667;63,691667;5,5;2,343333;null;
1995-12-31;110,6;null;null;178,3;269;959,436559;30,516129;25,098065;20,890323;74,427419;4,5;1,736559;null;
1996-01-31;190,8;null;null;321;13,9;958,760215;32,825806;26,705161;20,554839;60,91129;7,8;1,97957;null;
1996-02-29;221,8;null;null;292,4;119,5;958,811494;34,713793;27,597931;21,075862;54,560345;5,8;2,054023;null;
1996-03-31;159,8;null;null;260;114,4;958,829032;33,296774;26,921935;21,7;66,306452;5,6;1,837634;null;
1996-04-30;196,4;null;null;253,7;32,8;960,534444;32,996667;26,486667;20,996667;58,583333;5;2,033333;null;
1996-05-31;240,2;null;null;285,8;0;961,727957;33,012903;25,674839;18,064516;50,870968;5;1,776344;null;
1996-06-30;263,3;null;null;271,2;0;964,225556;31,39;23,701333;15,603333;53,383333;6,6;2,232222;null;
1996-07-31;281,1;null;null;295,1;0;965,17957;30,916129;22,992903;15,193548;53,403226;6,1;2,17957;null;
1996-08-31;null;null;null;null;0;963,203226;32,319355;25,398065;18,919355;46,604839;6,1;2,538372;null;
1996-09-30;415,9;null;null;293,6;0;960,84;34,386667;27,358;20,673333;37,458333;5,6;3,225556;null;
1996-10-31;308,1;null;null;230,4;95,4;958,652688;33,770968;27,703226;22,377419;46,58871;7,3;2,541935;null;
1996-11-30;152,2;null;null;171,4;307,1;958,043333;30,51;25,178;21,466667;71,941667;4,6;2,297778;null;
1996-12-31;163,7;null;null;238,9;50,9;958,504301;32,290323;26,395484;21,693548;65,129032;5,8;2,091398;null;
1997-01-31;112,4;null;null;229,6;119,3;958,476344;30,803226;25,317419;21,458065;74,032258;5;1,952688;null;
1997-02-28;198,8;null;null;260,9;69,1;959,693976;32,542857;26,341481;21,307143;58,666667;5,5;2,530952;null;
1997-03-31;115,7;null;null;183,7;285,6;958,919355;29,619355;24,423226;20,887097;76,887097;6;2,52043;null;
1997-04-30;103,1;null;null;204,5;115,3;960,973333;29,543333;24,123333;20,153333;74,408333;5,5;1,583333;null;
1997-05-31;138,2;null;null;255;,5;963,134409;29,125806;22,470323;16,770968;65,040323;5,8;2,034409;null;
1997-06-30;140,4;null;null;257,2;3;961,558889;30,216667;22,230667;15,413333;60,925;4,3;1,586667;null;
1997-07-31;229,1;null;null;278,9;0;964,962366;30,180645;22,328387;14,945161;52,5;6,6;2,370968;null;
1997-08-31;289,4;null;null;10,6;0;964,358065;31,570968;23,134839;14,683871;44,298387;5,8;2,562366;null;
1997-09-30;324;null;null;275;0;958,927778;36,15;28,252;20,613333;39,708333;7;2,504444;null;
1997-10-31;311,9;null;null;258,9;50;958,345161;35,3;28,173548;21,570968;48,008065;7,5;2,788172;null;
1997-11-30;262,1;null;null;262,2;76,1;957,811111;34,81;27,894;21,883333;52,025;6,6;2,283333;null;
1997-12-31;169,3;null;null;219,1;73,4;959,137634;33,232258;26,736774;21,680645;64,677419;6,6;2,176344;null;
1998-01-31;171,5;null;null;225,5;84,6;958,598925;33,390323;27,036129;21,587097;65,129032;5,5;2,001075;null;
1998-02-28;125,3;null;null;209,4;120,3;959,62381;33,582143;27,245926;22,214286;67,12037;5;1,787952;null;
1998-03-31;216,3;null;null;283;71,2;958,729032;34,854839;28,140645;21,967742;56,290323;5,8;2,236559;null;
1998-04-30;289,5;null;null;10,6;2,6;958,767778;36,29;29,035333;21,62;45,991667;8,8;2,378889;null;
1998-05-31;267,6;null;null;298,2;12,7;961,551613;33,825806;26,282581;18,719355;45,112903;5,3;2,409677;null;
1998-06-30;273,4;null;null;297,1;0;964,116667;31,57;24,328;18,143333;44,491667;7,3;2,524444;null;
1998-07-31;278,9;null;null;10,5;0;963,382796;31,76129;24,5;18,829032;43,774194;5,6;2,310753;null;
1998-08-31;360,2;null;null;10,5;0;962,256989;33,412903;26,343871;20,867742;40,870968;5,5;2,982796;null;
1998-09-30;387,3;null;null;11;0;960,721111;35,156667;27,67;20,48;35,183333;6,6;3,111111;null;
1998-10-31;361;null;null;262,2;56,2;959,604301;35,045161;28,114839;21,696774;45,927419;9,5;3,204301;null;
1998-11-30;100,4;null;null;147,9;324,2;958,261111;30,26;25,098667;21,136667;76,441667;4,3;2,03;null;
1998-12-31;118,1;null;null;249,8;372,6;958,646237;30,680645;25,24129;20,567742;73,5;4;1,977174;null;
1999-01-31;157,8;null;null;251,8;60,8;958,002151;32,025806;26,298065;21,248387;68,66129;5,8;2,124731;null;
1999-02-28;196,4;null;null;244,3;61,5;958,594048;33,903571;26,992143;20,864286;61,419643;6;2,286905;null;
1999-03-31;118,1;null;null;236,8;217,9;958,360215;31,187097;25,208387;19,735484;71,701613;5,6;1,663441;null;
1999-04-30;223,3;null;null;276,6;2,7;960,384444;33,153333;26,061333;19,53;57,058333;7;2,594318;null;
1999-05-31;248,2;null;null;286,9;,1;961,496774;32,312903;24,54;17,319355;53,967742;5,3;2,435484;null;
