Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;259,7;43,6;null;31,358065;null;20,722581;null;null;null;null;
1990-02-28;null;null;null;212,3;114,1;null;31,628571;null;20,171429;null;null;null;null;
1990-03-31;null;null;null;null;81,3;null;32,1;null;20,758065;null;null;null;null;
1990-04-30;null;null;null;null;55,4;null;31,34;null;19,7;null;null;null;null;
1990-05-31;null;null;null;null;61,5;null;29,565517;null;18,493333;null;null;null;null;
1990-06-30;null;null;null;179,4;73,7;null;26,963333;null;17,53;null;null;null;null;
1990-07-31;null;null;null;198,9;54,7;null;27,196429;null;17,877419;null;null;null;null;
1990-08-31;null;null;null;109,5;87,6;null;26,166667;null;18,306452;null;null;null;null;
1990-09-30;null;null;null;null;60,9;null;27,696154;null;18,13;null;null;null;null;
1990-10-31;null;null;null;null;229,5;null;27,669231;null;19,03871;null;null;null;null;
1990-11-30;null;null;null;194,6;115,7;null;28,966667;null;19,203333;null;null;null;null;
1990-12-31;null;null;null;222;163,5;null;30,551724;null;20,374194;null;null;null;null;
1991-01-31;104,8;null;null;159,9;164,8;989,489011;30,593548;null;20,53871;84,533333;null;null;null;
1991-02-28;99,2;null;null;null;95,1;989,733333;32,142857;null;20,6;null;null;null;null;
1991-03-31;null;null;null;null;61,8;null;27,58;null;20,258065;null;null;null;null;
