Nome: CARAVELAS
Codigo Estacao: 83498
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1990-01-31;null;null;null;311,8;16,1;null;null;30,019355;null;null;null;null;null;
1990-02-28;null;null;null;257,6;59,7;null;null;31,232143;null;null;null;null;null;
1990-03-31;null;null;null;null;30,3;null;null;31,409677;null;null;null;null;null;
1990-04-30;null;null;null;null;32,9;null;null;31,19;null;null;null;null;null;
1990-05-31;null;null;null;null;218,8;null;null;28,366667;null;null;null;null;null;
1990-06-30;null;null;null;null;243,3;null;null;27,160714;null;null;null;null;null;
1990-07-31;null;null;null;null;251,6;null;null;26,348276;null;null;null;null;null;
1990-08-31;null;null;null;null;203,3;null;null;25,616129;null;null;null;null;null;
1990-09-30;null;null;null;164,9;101,9;null;null;26,568966;null;null;null;null;null;
1990-10-31;null;null;null;190,4;334,9;null;null;27,353333;null;null;null;null;null;
1990-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;
1990-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;
1991-01-31;null;null;null;208,5;88,2;null;null;29,641379;null;23,483871;null;null;null;
1991-02-28;null;null;null;183,7;239,4;null;null;29,88;null;23,25;null;null;null;
1991-03-31;null;null;null;null;138,2;null;null;29,864516;null;23,190323;null;null;null;
1991-04-30;null;null;null;null;174,8;null;null;28,936667;null;22,32;null;null;null;
1991-05-31;null;null;null;185,8;95,8;null;null;27,2;null;20,858065;null;null;null;
1991-06-30;null;null;null;194,2;79,5;null;null;27,01;null;19,843333;null;null;null;
1991-07-31;null;null;null;200,6;118,6;null;null;26,1;null;19,041935;null;null;null;
1991-08-31;null;null;null;183,3;108,2;null;null;25,58;null;18,406452;null;null;null;
1991-09-30;null;null;null;160,6;122,2;null;null;25,92069;null;18,966667;null;null;null;
1991-10-31;null;null;null;213,2;151,2;null;null;27,324138;null;21,183871;null;null;null;
1991-11-30;null;null;null;118,8;371,6;null;null;28,132;null;22,683333;null;null;null;
1991-12-31;null;null;null;239,8;69,7;null;null;29,978571;null;22,748387;null;null;null;
1992-01-31;null;null;null;85,9;256,4;null;null;28,258065;null;22,816129;null;null;null;
1992-02-29;null;null;null;179,3;110,1;null;null;28,582143;null;22,565517;null;null;null;
1992-03-31;null;null;null;null;272,4;null;null;29,235484;null;22,670968;null;null;null;
1992-04-30;null;null;null;null;108,4;null;null;30,026667;null;22,77;null;null;null;
1992-05-31;null;null;null;205,6;164,4;null;null;29,027586;null;21,690323;null;null;null;
1992-06-30;null;null;null;179,1;70,2;null;null;27;null;20,18;null;null;null;
1992-07-31;null;null;null;179,2;194,9;null;null;26,327586;null;19,148387;null;null;null;
1992-08-31;null;null;null;168,1;106,9;null;null;26,016667;null;18,883871;null;null;null;
1992-09-30;null;null;null;181,5;102,4;null;null;26,52069;null;19,676667;null;null;null;
1992-10-31;null;null;null;137,1;275,9;null;null;27,203333;null;21,058065;null;null;null;
